scenario,scenario_generation_version,rvo_safety_layer_version,tier,area_policy,robots,seed,method,noise_level,sigma_p,sigma_v,observation_noise_protocol,occlusion_probability,occlusion_max_duration,observation_noise_seed,workspace_width,workspace_height,workspace_area,agent_density,area_per_agent,dominant_flow_axis,lateral_axis,passage_width,agents_per_passage_width,start_bounds_margin,goal_bounds_margin,starts_out_of_bounds,goals_out_of_bounds,initial_collision,initial_safety_violation,initial_obstacle_collision,initial_min_distance,success,collision,safety_violation,obstacle_collision,min_distance,completion_time,steps,final_goal_distance,max_final_goal_distance,progress_ratio,path_length,control_effort,smoothness,latency_ms,screen_reject_rate,screen_all_reject_rate,screen_min_margin,screen_selected_margin,screen_predicted_margin,screen_runtime_margin,rvo_intervention_rate,seed_index
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,icgp_rvo_mpc,low,0.02,0.04,neighbor_ar1_v1,0.1,3,6708522064401792730,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.5383589267730713,12.48,104,0.1413964629173278,0.3659757077693939,0.986169901676476,12.122253792127594,0.8001945800732266,0.5376840099477425,0.6180069707485157,0.0567307692307692,0.0336538461538461,0.3825884224216525,0.492377019197895,0.6064160947702253,0.5578488369228748,0.8028846153846154,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,passive_rvo_mpc,low,0.02,0.04,neighbor_ar1_v1,0.1,3,6708522064401792730,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.585646390914917,12.12,101,0.1901910901069641,0.3514017462730407,0.98139725998044,11.61427306639962,0.6242278332609942,0.4326224018070808,0.547035643874119,0.1301980198019802,0.0792079207920792,0.2255195506363369,0.3345871828629239,0.3665835384272112,0.5650676304869132,0.7103960396039604,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,rvo_reactive,low,0.02,0.04,neighbor_ar1_v1,0.1,3,6708522064401792730,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.785729706287384,12.12,101,0.2130781710147857,0.368459939956665,0.9791586566716431,11.26282268227078,0.24786549127006,0.2191710093307613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336633663366337,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,residual_passive_rvo_mpc,low,0.02,0.04,neighbor_ar1_v1,0.1,3,6708522064401792730,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6416115760803223,11.64,97,0.1801221966743469,0.3652782142162323,0.982382107526064,11.834272417239845,0.798418073124041,0.5080158047170436,0.6682731946432223,0.0623711340206185,0.0438144329896907,0.3910072444053846,0.4654780274890747,0.5501335084760927,0.5826827054232666,0.8402061855670103,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,icgp_rvo_mpc,high,0.1,0.2,neighbor_ar1_v1,0.1,3,10760684510995705362,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6471091508865356,12.84,107,0.1058332845568656,0.2945010364055633,0.9896483635529876,11.385256840789223,0.8720588015618725,0.7184510285156631,0.6821983643871662,0.1355140186915887,0.0864485981308411,0.2392509574155871,0.3801565280751647,0.4216576446745997,0.5488382358723711,0.6238317757009346,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,passive_rvo_mpc,high,0.1,0.2,neighbor_ar1_v1,0.1,3,10760684510995705362,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6673135757446289,13.44,112,0.1207381933927536,0.3779539763927459,0.988190502859652,11.72141963255126,0.7758693839423358,0.5943568076703828,0.5516305803731874,0.1959821428571428,0.1450892857142857,0.1833991060812591,0.2962038963660597,0.3185075991387878,0.5522335925192705,0.6183035714285714,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,rvo_reactive,high,0.1,0.2,neighbor_ar1_v1,0.1,3,10760684510995705362,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,1,0,0.6703537702560425,12.12,101,0.1893694996833801,0.2889969050884247,0.9814776200801134,10.7016977952444,0.4438149681185732,0.38445728729562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4282178217821782,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,residual_passive_rvo_mpc,high,0.1,0.2,neighbor_ar1_v1,0.1,3,10760684510995705362,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6962746977806091,11.16,93,0.1261205673217773,0.2811681926250458,0.9876640485599636,10.756244475836866,0.8137468390256888,0.5942383632742747,0.6964298395311049,0.1709677419354838,0.1317204301075268,0.2806294783140702,0.385901257778688,0.4212145389296034,0.6217533905627907,0.7043010752688172,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,icgp_rvo_mpc,low,0.02,0.04,neighbor_ar1_v1,0.1,3,13823535160657590079,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,0,0,0.6094015836715698,26.4,220,0.7562363147735596,1.5895873308181765,0.9253068268299104,14.528149685967946,0.9225490528751504,0.8952584089203315,0.6909514774220455,0.5320454545454546,0.4261363636363636,-0.0860553297550385,0.0705071982707489,0.081055080009455,0.4474377962526951,0.7767045454545455,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,passive_rvo_mpc,low,0.02,0.04,neighbor_ar1_v1,0.1,3,13823535160657590079,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,0,0,0.5887839198112488,26.4,220,0.6255481839179993,1.472500562667847,0.938214845955372,14.118838788934228,0.908066816831177,0.8478102166205644,0.5516405117470474,0.3864772727272727,0.2744318181818181,-0.0117122945945223,0.0988899386658925,0.1111666562379422,0.4655127269215882,0.7715909090909091,0
