noise_level,method,metric,direction,trials,mean,bootstrap_ci_low,bootstrap_ci_high
high,icgp_rvo_mpc,collision,lower,240,0.041666666666666664,0.016666666666666666,0.06666666666666667
high,icgp_rvo_mpc,completion_time,lower,240,20.739999999999995,19.8835,21.583524999999998
high,icgp_rvo_mpc,final_goal_distance,lower,240,0.8960227349462608,0.7831450329635602,1.0121995967603288
high,icgp_rvo_mpc,min_distance,higher,240,0.6534805072334837,0.6372948512562264,0.6697791645517869
high,icgp_rvo_mpc,progress_ratio,higher,240,0.9132869736252663,0.9021999560355713,0.9242882332170848
high,icgp_rvo_mpc,safety_violation,lower,240,0.1625,0.11666666666666667,0.2125
high,icgp_rvo_mpc,success,higher,240,0.45,0.3875,0.5125
high,passive_rvo_mpc,collision,lower,240,0.04583333333333333,0.020833333333333332,0.075
high,passive_rvo_mpc,completion_time,lower,240,21.319999999999997,20.492,22.118512499999998
high,passive_rvo_mpc,final_goal_distance,lower,240,0.9669403037056327,0.846667544171214,1.0968180967976027
high,passive_rvo_mpc,min_distance,higher,240,0.6541780817172099,0.6379128889466061,0.6701124605082021
high,passive_rvo_mpc,progress_ratio,higher,240,0.9065069310716354,0.8942486461956287,0.9184034479451172
high,passive_rvo_mpc,safety_violation,lower,240,0.14166666666666666,0.1,0.1875
high,passive_rvo_mpc,success,higher,240,0.4166666666666667,0.3541666666666667,0.4791666666666667
high,residual_passive_rvo_mpc,collision,lower,240,0.05,0.025,0.07916666666666666
high,residual_passive_rvo_mpc,completion_time,lower,240,20.639999999999993,19.7759125,21.479512499999995
high,residual_passive_rvo_mpc,final_goal_distance,lower,240,0.9192772021206717,0.8009334940416738,1.0437630111530112
high,residual_passive_rvo_mpc,min_distance,higher,240,0.6572619680113394,0.6405784680903056,0.6734038130384977
high,residual_passive_rvo_mpc,progress_ratio,higher,240,0.9110373922002812,0.8986795757021173,0.9227530195291426
high,residual_passive_rvo_mpc,safety_violation,lower,240,0.18333333333333332,0.13333333333333333,0.23333333333333334
high,residual_passive_rvo_mpc,success,higher,240,0.45416666666666666,0.39166666666666666,0.5166666666666667
high,rvo_reactive,collision,lower,240,0.05,0.025,0.07916666666666666
high,rvo_reactive,completion_time,lower,240,20.6965,19.8935,21.4855
high,rvo_reactive,final_goal_distance,lower,240,0.5930292482798298,0.5308288080920466,0.6616019269210908
high,rvo_reactive,min_distance,higher,240,0.6842091166275437,0.6634575331899519,0.7041945623306319
high,rvo_reactive,progress_ratio,higher,240,0.9423164884521005,0.9357112413393528,0.9486398887365552
high,rvo_reactive,safety_violation,lower,240,0.175,0.12916666666666668,0.225
high,rvo_reactive,success,higher,240,0.4875,0.425,0.55
low,icgp_rvo_mpc,collision,lower,240,0.0125,0.0,0.029166666666666667
low,icgp_rvo_mpc,completion_time,lower,240,20.8315,19.9729875,21.682512499999998
low,icgp_rvo_mpc,final_goal_distance,lower,240,0.9346491834148765,0.8105621917111179,1.0652427578298376
low,icgp_rvo_mpc,min_distance,higher,240,0.680126326953621,0.6626184292365781,0.6977827935109066
low,icgp_rvo_mpc,progress_ratio,higher,240,0.90965356726277,0.8974658412117666,0.9216212455392815
low,icgp_rvo_mpc,safety_violation,lower,240,0.1,0.0625,0.14166666666666666
low,icgp_rvo_mpc,success,higher,240,0.44166666666666665,0.37916666666666665,0.5041666666666667
low,passive_rvo_mpc,collision,lower,240,0.004166666666666667,0.0,0.0125
low,passive_rvo_mpc,completion_time,lower,240,21.402499999999993,20.58345,22.2040125
low,passive_rvo_mpc,final_goal_distance,lower,240,1.0031432347993057,0.8706936453569991,1.1411708197207189
low,passive_rvo_mpc,min_distance,higher,240,0.6845496424310837,0.6680628837538022,0.7016828592618223
low,passive_rvo_mpc,progress_ratio,higher,240,0.9030670462292619,0.8899517202596567,0.9157055833256648
low,passive_rvo_mpc,safety_violation,lower,240,0.0875,0.05416666666666667,0.125
low,passive_rvo_mpc,success,higher,240,0.4083333333333333,0.3458333333333333,0.4708333333333333
low,residual_passive_rvo_mpc,collision,lower,240,0.0,0.0,0.0
low,residual_passive_rvo_mpc,completion_time,lower,240,20.862999999999996,20.012987499999998,21.710024999999998
low,residual_passive_rvo_mpc,final_goal_distance,lower,240,0.9250631981529296,0.8049246675218455,1.0537401238370996
low,residual_passive_rvo_mpc,min_distance,higher,240,0.7021193197138417,0.6859057697882317,0.719174656746359
low,residual_passive_rvo_mpc,progress_ratio,higher,240,0.9104820847976953,0.8980656354020661,0.9222463223937666
low,residual_passive_rvo_mpc,safety_violation,lower,240,0.05416666666666667,0.029166666666666667,0.08333333333333333
low,residual_passive_rvo_mpc,success,higher,240,0.44583333333333336,0.38333333333333336,0.5083333333333333
low,rvo_reactive,collision,lower,240,0.016666666666666666,0.004166666666666667,0.03333333333333333
low,rvo_reactive,completion_time,lower,240,20.672999999999995,19.8674875,21.4740125
low,rvo_reactive,final_goal_distance,lower,240,0.6158702952166398,0.546844456815937,0.6923728543093117
low,rvo_reactive,min_distance,higher,240,0.7502389711569372,0.7249764629663851,0.7769606111691554
low,rvo_reactive,progress_ratio,higher,240,0.9401125249414084,0.9328239946171136,0.9468340817147206
low,rvo_reactive,safety_violation,lower,240,0.09166666666666666,0.058333333333333334,0.12916666666666668
low,rvo_reactive,success,higher,240,0.4791666666666667,0.4166666666666667,0.5416666666666666
