noise_level,comparison,metric,direction,paired_cases,mean_delta,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p,mean_signed_improvement,primary_better_rate
high,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,240,-0.004166666666666667,-0.0375,0.029166666666666667,1.0,0.004166666666666667,0.0375
high,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,240,-0.5799999999999998,-0.9785624999999999,-0.1854875,0.0036996300369963003,0.5799999999999998,0.3625
high,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,240,-0.0709175687593718,-0.15498081719580414,0.013127940096892426,0.09919008099190081,0.0709175687593718,0.55
high,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,240,-0.0006975744837261525,-0.013500109894214601,0.012880672357877015,0.9146085391460854,-0.0006975744837261525,0.4875
high,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,240,0.006780042553630966,-0.0012176648428430738,0.014794386319214634,0.10228977102289771,0.006780042553630966,0.55
high,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,240,0.020833333333333332,-0.03333333333333333,0.075,0.5517448255174483,-0.020833333333333332,0.08333333333333333
high,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,240,0.03333333333333333,0.0,0.07083333333333333,0.11198880111988802,0.03333333333333333,0.058333333333333334
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,collision,lower,240,-0.008333333333333333,-0.04583333333333333,0.025,0.8233176682331766,0.008333333333333333,0.04583333333333333
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,completion_time,lower,240,0.09999999999999999,-0.13551250000000004,0.3495,0.42205779422057793,-0.09999999999999999,0.25416666666666665
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,final_goal_distance,lower,240,-0.023254467174410813,-0.08798303105325127,0.04263728496696175,0.4811518848115188,0.023254467174410813,0.5625
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,min_distance,higher,240,-0.0037814607778556292,-0.01915166036406459,0.011520119185145146,0.6280371962803719,-0.0037814607778556292,0.49583333333333335
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,progress_ratio,higher,240,0.002249581424985081,-0.003948938530714562,0.008443550548011748,0.47705229477052297,0.002249581424985081,0.5625
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,safety_violation,lower,240,-0.020833333333333332,-0.08333333333333333,0.041666666666666664,0.6076392360763924,0.020833333333333332,0.1375
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,success,higher,240,-0.004166666666666667,-0.029166666666666667,0.020833333333333332,1.0,-0.004166666666666667,0.016666666666666666
high,icgp_rvo_mpc_vs_rvo_reactive,collision,lower,240,-0.008333333333333333,-0.041666666666666664,0.029166666666666667,0.8174182581741826,0.008333333333333333,0.04583333333333333
high,icgp_rvo_mpc_vs_rvo_reactive,completion_time,lower,240,0.043499999999999935,-0.3060125000000001,0.4280124999999998,0.8278172182781722,-0.043499999999999935,0.275
high,icgp_rvo_mpc_vs_rvo_reactive,final_goal_distance,lower,240,0.30299348666643106,0.22006479202769696,0.39060588611600294,9.999000099990002e-05,-0.30299348666643106,0.5125
high,icgp_rvo_mpc_vs_rvo_reactive,min_distance,higher,240,-0.030728609394059834,-0.048923692875672005,-0.01270783276695049,0.0017998200179982,-0.030728609394059834,0.42083333333333334
high,icgp_rvo_mpc_vs_rvo_reactive,progress_ratio,higher,240,-0.029029514826834205,-0.03728672411176378,-0.021077171323413496,9.999000099990002e-05,-0.029029514826834205,0.5125
high,icgp_rvo_mpc_vs_rvo_reactive,safety_violation,lower,240,-0.0125,-0.07083333333333333,0.04583333333333333,0.7855214478552145,0.0125,0.1125
high,icgp_rvo_mpc_vs_rvo_reactive,success,higher,240,-0.0375,-0.0625,-0.0125,0.012098790120987902,-0.0375,0.004166666666666667
low,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,240,0.008333333333333333,-0.008333333333333333,0.025,0.6326367363263674,-0.008333333333333333,0.004166666666666667
low,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,240,-0.5709999999999998,-0.9705374999999997,-0.1899875,0.0044995500449955,0.5709999999999998,0.3125
low,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,240,-0.06849405138442916,-0.17084420311109472,0.03236528856679792,0.19218078192180782,0.06849405138442916,0.5541666666666667
low,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,240,-0.0044233154774628025,-0.01734379696372563,0.008391942429383613,0.49055094490550943,-0.0044233154774628025,0.49166666666666664
low,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,240,0.0065865210335080745,-0.0031536956889128115,0.016115540418541043,0.19258074192580743,0.0065865210335080745,0.5541666666666667
low,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,240,0.0125,-0.0375,0.0625,0.7479252074792521,-0.0125,0.075
low,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,240,0.03333333333333333,-0.004166666666666667,0.07083333333333333,0.11398860113988601,0.03333333333333333,0.058333333333333334
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,collision,lower,240,0.0125,0.0,0.029166666666666667,0.24887511248875113,-0.0125,0.0
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,completion_time,lower,240,-0.03150000000000001,-0.3920125,0.32899999999999996,0.8701129887011299,0.03150000000000001,0.22083333333333333
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,final_goal_distance,lower,240,0.009585985261946912,-0.0781803036442337,0.1010895857797004,0.8303169683031697,-0.009585985261946912,0.5708333333333333
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,min_distance,higher,240,-0.0219929927602208,-0.033947939069309534,-0.010114723169619894,0.00019998000199980003,-0.0219929927602208,0.3958333333333333
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,progress_ratio,higher,240,-0.0008285175349252942,-0.009421493851502104,0.007732845872815224,0.8596140385961404,-0.0008285175349252942,0.5708333333333333
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,safety_violation,lower,240,0.04583333333333333,0.004166666666666667,0.09166666666666666,0.05979402059794021,-0.04583333333333333,0.0375
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,success,higher,240,-0.004166666666666667,-0.03333333333333333,0.025,1.0,-0.004166666666666667,0.020833333333333332
low,icgp_rvo_mpc_vs_rvo_reactive,collision,lower,240,-0.004166666666666667,-0.025,0.016666666666666666,1.0,0.004166666666666667,0.016666666666666666
low,icgp_rvo_mpc_vs_rvo_reactive,completion_time,lower,240,0.15850000000000003,-0.22649999999999995,0.5550124999999999,0.44145585441455854,-0.15850000000000003,0.275
low,icgp_rvo_mpc_vs_rvo_reactive,final_goal_distance,lower,240,0.31877888819823663,0.21384509928369272,0.43126811979648966,9.999000099990002e-05,-0.31877888819823663,0.5625
low,icgp_rvo_mpc_vs_rvo_reactive,min_distance,higher,240,-0.07011264420331613,-0.08776683674673194,-0.05218505255838593,9.999000099990002e-05,-0.07011264420331613,0.32083333333333336
low,icgp_rvo_mpc_vs_rvo_reactive,progress_ratio,higher,240,-0.030458957678638408,-0.041358991287221834,-0.020206874480063572,9.999000099990002e-05,-0.030458957678638408,0.5625
low,icgp_rvo_mpc_vs_rvo_reactive,safety_violation,lower,240,0.008333333333333333,-0.0375,0.05416666666666667,0.8628137186281372,-0.008333333333333333,0.06666666666666667
low,icgp_rvo_mpc_vs_rvo_reactive,success,higher,240,-0.0375,-0.06666666666666667,-0.008333333333333333,0.024397560243975602,-0.0375,0.008333333333333333
