noise_level,scenario,robots,seed_index,contrast,metric,direction,residual_conditioning_effect,plain_conditioning_effect,interaction_delta
clean,corridor,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
clean,corridor,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,1.0,-1.0
clean,corridor,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
clean,corridor,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.0020815450698138394,-0.0002642078325152397,0.002345752902329079
clean,corridor,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.021281346678733798,0.002701207995414706,-0.023982554674148504
clean,corridor,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,-0.35999999999999943,1.08,-1.4399999999999995
clean,corridor,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.02122974395751953,-0.15512323379516602,0.13389348983764648
low,corridor,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
low,corridor,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,1.0,-1.0
low,corridor,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
low,corridor,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.001544823870062828,0.003010844811797031,-0.004555668681859859
low,corridor,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.015794001519679995,-0.030782334506511716,0.04657633602619171
low,corridor,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.120000000000001,0.6000000000000014,-0.4800000000000004
low,corridor,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.08934104442596436,-0.15751856565475464,0.06817752122879028
medium,corridor,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
medium,corridor,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
medium,corridor,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
medium,corridor,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.001887613907456398,0.0020019616931675754,-0.0038895756006239735
medium,corridor,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.0192986279726029,-0.02046770602464669,0.03976633399724959
medium,corridor,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,-2.880000000000001,0.3600000000000012,-3.240000000000002
medium,corridor,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.032957613468170166,0.048686444759368896,-0.08164405822753906
high,corridor,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
high,corridor,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,-1.0,1.0
high,corridor,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
high,corridor,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.0011237524449825287,0.004459843039512634,-0.0033360905945301056
high,corridor,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.0114890411496162,-0.045596644282341,0.034107603132724804
high,corridor,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.2400000000000002,-0.8399999999999999,1.08
high,corridor,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.02213001251220703,0.282739520072937,-0.26060950756073
clean,corridor,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
clean,corridor,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
clean,corridor,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
clean,corridor,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.0029596388339995228,0.0023224353790284313,-0.005282074213027954
clean,corridor,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.029965102672576904,-0.02351367473602295,0.053478777408599854
clean,corridor,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
clean,corridor,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.01741892099380493,0.033933401107788086,-0.05135232210159302
low,corridor,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
low,corridor,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
low,corridor,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
low,corridor,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.009775497019291035,0.003054935485124588,-0.012830432504415623
low,corridor,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.09897267818450928,-0.030929923057556152,0.12990260124206543
low,corridor,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
low,corridor,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.10834580659866333,-0.138852059841156,0.24719786643981934
medium,corridor,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
medium,corridor,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
medium,corridor,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
medium,corridor,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.0020987391471861683,-0.0033964961767197765,0.005495235323905945
medium,corridor,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.021248817443847656,0.034388065338134766,-0.05563688278198242
medium,corridor,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
medium,corridor,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.008243918418884277,0.0702594518661499,-0.062015533447265625
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,1.0,0.0,1.0
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,1.0,0.0,1.0
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.001291867345571407,-0.002252340316772572,0.000960472971201165
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.013079583644866943,0.02280402183532715,-0.009724438190460205
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.294071763753891,0.06748014688491821,-0.3615519106388092
clean,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
clean,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
