noise_level,contrast,metric,paired_cases,mean_interaction_delta,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p
clean,residual_conditioning_minus_plain_conditioning,collision,240,0.020833333333333332,0.004166666666666667,0.041666666666666664,0.06079392060793921
clean,residual_conditioning_minus_plain_conditioning,completion_time,240,0.07850000000000007,-0.41899999999999976,0.5685125,0.7577242275772422
clean,residual_conditioning_minus_plain_conditioning,final_goal_distance,240,0.013674644629160555,-0.1300337526272051,0.16449130406059934,0.8576142385761424
clean,residual_conditioning_minus_plain_conditioning,min_distance,240,-0.014969010264768193,-0.031051466790270817,0.0015255023193729257,0.0710928907109289
clean,residual_conditioning_minus_plain_conditioning,progress_ratio,240,-0.0014161746910152392,-0.015599168690969249,0.0122311194081946,0.8443155684431557
clean,residual_conditioning_minus_plain_conditioning,safety_violation,240,-0.004166666666666667,-0.05416666666666667,0.04583333333333333,1.0
clean,residual_conditioning_minus_plain_conditioning,success,240,-0.004166666666666667,-0.05416666666666667,0.04583333333333333,1.0
high,residual_conditioning_minus_plain_conditioning,collision,240,0.020833333333333332,-0.004166666666666667,0.04583333333333333,0.18198180181981802
high,residual_conditioning_minus_plain_conditioning,completion_time,240,0.013999999999999938,-0.48549999999999993,0.5210124999999998,0.9608039196080392
high,residual_conditioning_minus_plain_conditioning,final_goal_distance,240,0.014310444208482896,-0.06719406778613726,0.0973998928760799,0.7303269673032696
high,residual_conditioning_minus_plain_conditioning,min_distance,240,-0.014558473416373341,-0.03208459648446689,0.0027121769086124966,0.1004899510048995
high,residual_conditioning_minus_plain_conditioning,progress_ratio,240,-0.0013476109035157936,-0.009227715416297248,0.0065546785551608274,0.7371262873712628
high,residual_conditioning_minus_plain_conditioning,safety_violation,240,0.04583333333333333,-0.008333333333333333,0.10416666666666667,0.14588541145885411
high,residual_conditioning_minus_plain_conditioning,success,240,-0.05,-0.1,0.0,0.0658934106589341
low,residual_conditioning_minus_plain_conditioning,collision,240,-0.016666666666666666,-0.0375,0.0,0.21447855214478553
low,residual_conditioning_minus_plain_conditioning,completion_time,240,0.49299999999999994,-0.177525,1.1955124999999995,0.15728427157284272
low,residual_conditioning_minus_plain_conditioning,final_goal_distance,240,-0.0020994994789361805,-0.14503981734548385,0.14547703630523753,0.9776022397760225
low,residual_conditioning_minus_plain_conditioning,min_distance,240,-0.001044226313593637,-0.017010311418116472,0.014892280213362403,0.8991100889911009
low,residual_conditioning_minus_plain_conditioning,progress_ratio,240,0.00011717836217334058,-0.01370961599148965,0.013389286020052758,0.9885011498850115
low,residual_conditioning_minus_plain_conditioning,safety_violation,240,0.041666666666666664,-0.008333333333333333,0.09583333333333334,0.1523847615238476
low,residual_conditioning_minus_plain_conditioning,success,240,-0.0625,-0.13333333333333333,0.004166666666666667,0.09569043095690431
medium,residual_conditioning_minus_plain_conditioning,collision,240,0.0,-0.020833333333333332,0.025,1.0
medium,residual_conditioning_minus_plain_conditioning,completion_time,240,0.8544999999999999,0.25949999999999995,1.4660124999999995,0.006899310068993101
medium,residual_conditioning_minus_plain_conditioning,final_goal_distance,240,-0.027982956760873413,-0.14861613916854063,0.09240012627638246,0.6448355164483551
medium,residual_conditioning_minus_plain_conditioning,min_distance,240,-0.008789605582172096,-0.02292910023571407,0.005615199165020283,0.2248775122487751
medium,residual_conditioning_minus_plain_conditioning,progress_ratio,240,0.002634720756517092,-0.008411180919016877,0.01418662556388879,0.6524347565243476
medium,residual_conditioning_minus_plain_conditioning,safety_violation,240,0.0375,0.0,0.075,0.0958904109589041
medium,residual_conditioning_minus_plain_conditioning,success,240,-0.05,-0.10833333333333334,0.008333333333333333,0.12448755124487551
