noise_level,method,metric,direction,trials,mean,bootstrap_ci_low,bootstrap_ci_high
clean,plain_candidate,collision,lower,240,0.0,0.0,0.0
clean,plain_candidate,completion_time,lower,240,21.547499999999996,20.731487499999997,22.349512499999996
clean,plain_candidate,final_goal_distance,lower,240,1.023724826456358,0.8878912474781585,1.160944093436313
clean,plain_candidate,latency_ms,lower,240,0.14842429663486117,0.14141855951175816,0.15559769054690006
clean,plain_candidate,min_distance,higher,240,0.6823867990407275,0.6654290761856758,0.6995590494649355
clean,plain_candidate,progress_ratio,higher,240,0.9011977104625354,0.8878535991822718,0.9141194179570691
clean,plain_candidate,rvo_intervention_rate,higher,240,0.6618799675911315,0.6423264873767944,0.6806809956303325
clean,plain_candidate,safety_violation,lower,240,0.08333333333333333,0.05,0.12083333333333333
clean,plain_candidate,screen_all_reject_rate,higher,240,0.21085381170368123,0.19545000580799066,0.22620318536847292
clean,plain_candidate,screen_reject_rate,higher,240,0.3880416839693904,0.36600673792679783,0.41005822539352216
clean,plain_candidate,success,higher,240,0.4,0.3375,0.4625
clean,plain_zero,collision,lower,240,0.0,0.0,0.0
clean,plain_zero,completion_time,lower,240,22.000999999999994,21.200499999999998,22.764574999999997
clean,plain_zero,final_goal_distance,lower,240,0.9798550662274162,0.853278486499718,1.110946207671271
clean,plain_zero,latency_ms,lower,240,0.14880919950918717,0.14184893670649734,0.15576830941551353
clean,plain_zero,min_distance,higher,240,0.6855933844387747,0.6701301825404054,0.7019645298732052
clean,plain_zero,progress_ratio,higher,240,0.9052573735360057,0.8928359439033859,0.9171643356308534
clean,plain_zero,rvo_intervention_rate,higher,240,0.6485152256403083,0.6308076060663736,0.6666592315215017
clean,plain_zero,safety_violation,lower,240,0.041666666666666664,0.016666666666666666,0.07083333333333333
clean,plain_zero,screen_all_reject_rate,higher,240,0.23267238313711444,0.21903057409872406,0.24644878086937852
clean,plain_zero,screen_reject_rate,higher,240,0.38037045079559184,0.3606569758852922,0.4002852419664712
clean,plain_zero,success,higher,240,0.38333333333333336,0.325,0.44583333333333336
clean,residual_candidate,collision,lower,240,0.020833333333333332,0.004166666666666667,0.041666666666666664
clean,residual_candidate,completion_time,lower,240,21.1615,20.342975,21.9850875
clean,residual_candidate,final_goal_distance,lower,240,1.0231554160825909,0.8813846874485413,1.1728416279493832
clean,residual_candidate,latency_ms,lower,240,0.18928707953513466,0.18084129880188723,0.19777454001832484
clean,residual_candidate,min_distance,higher,240,0.6978261536083324,0.6810482375028403,0.7151240162400353
clean,residual_candidate,progress_ratio,higher,240,0.901210249972064,0.8869808426548843,0.9148628735922587
clean,residual_candidate,rvo_intervention_rate,higher,240,0.620551809314422,0.596914847881675,0.6439856217775067
clean,residual_candidate,safety_violation,lower,240,0.058333333333333334,0.029166666666666667,0.09166666666666666
clean,residual_candidate,screen_all_reject_rate,higher,240,0.19150301521105434,0.1790029904419965,0.20378816090038998
clean,residual_candidate,screen_reject_rate,higher,240,0.3637846411492004,0.34470840774855,0.383400785607732
clean,residual_candidate,success,higher,240,0.4166666666666667,0.3541666666666667,0.4791666666666667
clean,residual_zero,collision,lower,240,0.0,0.0,0.0
clean,residual_zero,completion_time,lower,240,21.536499999999993,20.7209875,22.341025
clean,residual_zero,final_goal_distance,lower,240,0.9656110112244884,0.8374450367153622,1.1000558825822857
clean,residual_zero,latency_ms,lower,240,0.1894127058443606,0.18066785711002065,0.1982501927224002
clean,residual_zero,min_distance,higher,240,0.7160017492711478,0.6996809548119252,0.733147395173559
clean,residual_zero,progress_ratio,higher,240,0.9066860877365495,0.8941495802461092,0.9188873267070934
clean,residual_zero,rvo_intervention_rate,higher,240,0.6304421399245751,0.6093265270432854,0.6507907728130841
clean,residual_zero,safety_violation,lower,240,0.020833333333333332,0.004166666666666667,0.041666666666666664
clean,residual_zero,screen_all_reject_rate,higher,240,0.19893862455740116,0.18603495112150303,0.21185508724026397
clean,residual_zero,screen_reject_rate,higher,240,0.3584444580878562,0.33967592873997815,0.3774900039887387
clean,residual_zero,success,higher,240,0.4041666666666667,0.3416666666666667,0.4666666666666667
high,plain_candidate,collision,lower,240,0.008333333333333333,0.0,0.020833333333333332
high,plain_candidate,completion_time,lower,240,21.138999999999996,20.296499999999998,21.954024999999998
high,plain_candidate,final_goal_distance,lower,240,0.8947562147242327,0.7726066163027039,1.0252766200853511
high,plain_candidate,latency_ms,lower,240,0.1484739768407883,0.1410516317372329,0.15602448554836865
high,plain_candidate,min_distance,higher,240,0.6974033716099907,0.684651831860132,0.710328108693475
high,plain_candidate,progress_ratio,higher,240,0.9134222432621755,0.9013276729533876,0.9251261695480206
high,plain_candidate,rvo_intervention_rate,higher,240,0.6395111647963344,0.6183586629313699,0.6597964190263527
high,plain_candidate,safety_violation,lower,240,0.04583333333333333,0.020833333333333332,0.075
high,plain_candidate,screen_all_reject_rate,higher,240,0.21737749134429837,0.20305474582206257,0.23213664508761359
high,plain_candidate,screen_reject_rate,higher,240,0.39604937059202255,0.3757140385976019,0.41669466887564627
high,plain_candidate,success,higher,240,0.43333333333333335,0.37083333333333335,0.49583333333333335
high,plain_zero,collision,lower,240,0.020833333333333332,0.004166666666666667,0.041666666666666664
high,plain_zero,completion_time,lower,240,21.569999999999997,20.723987499999996,22.382999999999996
high,plain_zero,final_goal_distance,lower,240,0.9098750210677584,0.7970617792809692,1.0300792150719402
high,plain_zero,latency_ms,lower,240,0.14791699149286733,0.14064106619635275,0.1551542529081498
high,plain_zero,min_distance,higher,240,0.6982882127432928,0.6832225144763546,0.7134134730931256
high,plain_zero,progress_ratio,higher,240,0.9119466399618735,0.9005160017301871,0.9229614423344416
high,plain_zero,rvo_intervention_rate,higher,240,0.6505281523462114,0.630920999702875,0.6689963943780698
high,plain_zero,safety_violation,lower,240,0.075,0.04583333333333333,0.10833333333333334
high,plain_zero,screen_all_reject_rate,higher,240,0.23992684195360922,0.22656553444612856,0.25344072986745275
high,plain_zero,screen_reject_rate,higher,240,0.39087479634936717,0.37170264774626194,0.4098371102755959
high,plain_zero,success,higher,240,0.3875,0.325,0.45
high,residual_candidate,collision,lower,240,0.008333333333333333,0.0,0.020833333333333332
high,residual_candidate,completion_time,lower,240,20.66,19.8094875,21.5065
high,residual_candidate,final_goal_distance,lower,240,0.8497503266980251,0.7332180992832097,0.9723903725335064
high,residual_candidate,latency_ms,lower,240,0.18825192510946254,0.17942700756956437,0.1973224403940542
high,residual_candidate,min_distance,higher,240,0.705186437981229,0.6911377251341705,0.7194152994371565
high,residual_candidate,progress_ratio,higher,240,0.9177044054978372,0.9057713057357857,0.9290988490432694
high,residual_candidate,rvo_intervention_rate,higher,240,0.6235748356703996,0.6010293575032165,0.6454001584312938
high,residual_candidate,safety_violation,lower,240,0.05416666666666667,0.029166666666666667,0.08333333333333333
high,residual_candidate,screen_all_reject_rate,higher,240,0.1997241012303697,0.18885398802484338,0.21067044750948424
high,residual_candidate,screen_reject_rate,higher,240,0.3670546194258296,0.34867358664732495,0.38601889422975466
high,residual_candidate,success,higher,240,0.4583333333333333,0.3958333333333333,0.5208333333333334
high,residual_zero,collision,lower,240,0.0,0.0,0.0
high,residual_zero,completion_time,lower,240,21.076999999999998,20.2424875,21.9100125
high,residual_zero,final_goal_distance,lower,240,0.8505586888330678,0.7340355086466297,0.9716515097363541
high,residual_zero,latency_ms,lower,240,0.19281520865606555,0.18298384710553617,0.20290153762179122
high,residual_zero,min_distance,higher,240,0.7206297525309044,0.7069395290477678,0.7347404911685141
high,residual_zero,progress_ratio,higher,240,0.917576413101051,0.9059588596924247,0.9287170694333812
high,residual_zero,rvo_intervention_rate,higher,240,0.6347649006746323,0.6115852950812464,0.6567044449200876
