noise_level,scenario,robots,seed_index,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
clean,corridor,4,0,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,0,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,1.0,0.0,1.0,-1.0
clean,corridor,4,0,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,0,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9882474644109608,0.988511672243476,-0.0002642078325152397,-0.0002642078325152397
clean,corridor,4,0,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1201558262109756,0.1174546182155609,0.002701207995414706,-0.002701207995414706
clean,corridor,4,0,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.68,12.6,1.08,-1.08
clean,corridor,4,0,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.508833110332489,0.663956344127655,-0.15512323379516602,-0.15512323379516602
clean,corridor,4,1,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,1,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,1,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,1,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9874084908515216,0.9874631110578777,-5.4620206356048584e-05,-5.4620206356048584e-05
clean,corridor,4,1,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1286420673131942,0.1280840337276458,0.0005580335855484009,-0.0005580335855484009
clean,corridor,4,1,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,14.16,12.84,1.3200000000000003,-1.3200000000000003
clean,corridor,4,1,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5345081090927124,0.6715680956840515,-0.1370599865913391,-0.1370599865913391
clean,corridor,4,2,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,2,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,2,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,2,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.988353967666626,0.9901992725208402,-0.0018453048542141914,-0.0018453048542141914
clean,corridor,4,2,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1189692392945289,0.1001186594367027,0.018850579857826205,-0.018850579857826205
clean,corridor,4,2,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,12.84,13.56,-0.7200000000000006,0.7200000000000006
clean,corridor,4,2,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5230648517608643,0.6916752457618713,-0.16861039400100708,-0.16861039400100708
clean,corridor,4,3,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,3,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,3,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,3,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9883323973044752,0.9883624352514744,-3.003794699918405e-05,-3.003794699918405e-05
clean,corridor,4,3,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1193072125315666,0.1190000623464584,0.00030715018510821257,-0.00030715018510821257
