scenario,scenario_generation_version,rvo_safety_layer_version,tier,area_policy,robots,seed,method,noise_level,sigma_p,sigma_v,observation_noise_protocol,observation_noise_seed,workspace_width,workspace_height,workspace_area,agent_density,area_per_agent,dominant_flow_axis,lateral_axis,passage_width,agents_per_passage_width,start_bounds_margin,goal_bounds_margin,starts_out_of_bounds,goals_out_of_bounds,initial_collision,initial_safety_violation,initial_obstacle_collision,initial_min_distance,success,collision,safety_violation,obstacle_collision,min_distance,completion_time,steps,final_goal_distance,max_final_goal_distance,progress_ratio,path_length,control_effort,smoothness,latency_ms,screen_reject_rate,screen_all_reject_rate,screen_min_margin,screen_selected_margin,screen_predicted_margin,screen_runtime_margin,rvo_intervention_rate,architecture,candidate_conditioned,feature_key,planner_method,training_seed,seed_index
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,plain_candidate,clean,0.0,0.0,neighbor_gaussian_v1,2712549327049614243,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.6373356580734253,12.24,102,0.1275649815797805,0.3091150820255279,0.9875181140378118,10.81671275375993,0.7628309403537024,0.4970548468888463,0.1692941170368416,0.1588235294117647,0.0759803921568627,0.1905782894172943,0.3331729091119532,0.374026414199787,0.6107333283739932,0.5465686274509803,plain,1,x_intent,icgp_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,plain_zero,clean,0.0,0.0,neighbor_gaussian_v1,2712549327049614243,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.7213996052742004,10.92,91,0.1501291245222091,0.3559403121471405,0.9853102741762996,10.566020620870404,0.6114601897751237,0.4376324333025367,0.21459725346406,0.306043956043956,0.2252747252747252,0.1655201528131306,0.2907734714964261,0.3273188990067976,0.5555717193245232,0.489010989010989,plain,0,x_passive,passive_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,residual_candidate,clean,0.0,0.0,neighbor_gaussian_v1,2712549327049614243,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.6979974508285522,12.6,105,0.1223467737436294,0.2844923734664917,0.9880287013947964,10.85299870702147,0.5488925888386023,0.3459425689209075,0.2942052382942555,0.2361904761904762,0.1666666666666666,0.1897793093604878,0.340502959670765,0.3706724570102635,0.6372495455869607,0.3833333333333333,residual,1,x_intent,icgp_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,residual_zero,clean,0.0,0.0,neighbor_gaussian_v1,2712549327049614243,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.6976447105407715,12.24,102,0.1566593945026397,0.3490887284278869,0.9846713049337268,10.713591807929332,0.7270074374174845,0.5132487882978702,0.2755786763908177,0.2916666666666667,0.2205882352941176,0.2056075513446886,0.3140313065300384,0.3490505102174539,0.6865259820785301,0.4681372549019608,residual,0,x_passive,residual_passive_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,plain_candidate,low,0.02,0.04,neighbor_gaussian_v1,7651663745747817879,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.6372848749160767,12.0,100,0.1407707333564758,0.3723018169403076,0.986225967295468,11.55870181613136,0.6662408987805247,0.4822737038880587,0.2318357495823875,0.1975,0.14,0.2071952567432075,0.3408776948198676,0.3807459105432034,0.5609688703298569,0.765,plain,1,x_intent,icgp_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,plain_zero,low,0.02,0.04,neighbor_gaussian_v1,7651663745747817879,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.7181180119514465,10.92,91,0.1812659502029419,0.3509349226951599,0.982263620942831,10.517082930076867,0.5901084637658282,0.4031423124085579,0.1914483523200992,0.3137362637362637,0.2362637362637362,0.1670866347814572,0.2909289718415219,0.3196953169678102,0.5611115660215472,0.4862637362637362,plain,0,x_passive,passive_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,residual_candidate,low,0.02,0.04,neighbor_gaussian_v1,7651663745747817879,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.8230304718017578,12.6,105,0.1305460929870605,0.3261487782001495,0.9872264210134744,10.854995709960347,0.5653560081374875,0.3773122347048706,0.2272323813355927,0.2385714285714285,0.1666666666666666,0.18691263471597,0.3375766918417953,0.3641468387941519,0.6178862457984969,0.4,residual,1,x_intent,icgp_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,residual_zero,low,0.02,0.04,neighbor_gaussian_v1,7651663745747817879,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.6737425327301025,12.36,103,0.1136281192302703,0.2967496514320373,0.9888817984610796,10.750206808384974,0.7008021040322278,0.4286113092359336,0.2409604356004811,0.2839805825242718,0.2160194174757281,0.2125490929638442,0.3273420975183688,0.3656335241897302,0.6852087092833613,0.3495145631067961,residual,0,x_passive,residual_passive_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,plain_candidate,medium,0.05,0.1,neighbor_gaussian_v1,4822820517679542097,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.5664194226264954,14.16,118,0.1123576313257217,0.31818687915802,0.9890061123296618,11.910166491376003,0.747650085869482,0.6319160712488249,0.2003703398336025,0.1805084745762712,0.1313559322033898,0.22319303249593,0.3487812469255621,0.4003240427248559,0.5300922761604948,0.6546610169491526,plain,1,x_intent,icgp_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,plain_zero,medium,0.05,0.1,neighbor_gaussian_v1,4822820517679542097,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.7175171971321106,10.92,91,0.130519151687622,0.325714498758316,0.9872290566563606,10.571337544592096,0.6804721675362888,0.5513358800416137,0.2247304949848042,0.3016483516483516,0.228021978021978,0.1601056251107397,0.2856769118769155,0.3190102856900993,0.5686844100786762,0.5467032967032966,plain,0,x_passive,passive_rvo_mpc,7,5
