noise_level,method,metric,direction,trials,mean,bootstrap_ci_low,bootstrap_ci_high
clean,icgp_rvo_mpc,collision,lower,240,0.004166666666666667,0.0,0.0125
clean,icgp_rvo_mpc,completion_time,lower,240,21.043,20.196000000000005,21.879537499999998
clean,icgp_rvo_mpc,final_goal_distance,lower,240,0.9663308176212013,0.8355067204660735,1.1037514277834755
clean,icgp_rvo_mpc,min_distance,higher,240,0.6930825171007456,0.6747843638017472,0.7117933474021115
clean,icgp_rvo_mpc,progress_ratio,higher,240,0.9066241819295101,0.8940917894260686,0.918841161315504
clean,icgp_rvo_mpc,safety_violation,lower,240,0.09583333333333334,0.0625,0.13333333333333333
clean,icgp_rvo_mpc,success,higher,240,0.43333333333333335,0.37083333333333335,0.49583333333333335
clean,passive_rvo_mpc,collision,lower,240,0.004166666666666667,0.0,0.0125
clean,passive_rvo_mpc,completion_time,lower,240,21.6605,20.847475,22.459499999999995
clean,passive_rvo_mpc,final_goal_distance,lower,240,1.0630617362136643,0.9172551411235084,1.2186576868585932
clean,passive_rvo_mpc,min_distance,higher,240,0.6887670643105317,0.6719961961081273,0.70714857930299
clean,passive_rvo_mpc,progress_ratio,higher,240,0.8973911687382496,0.8827046207439465,0.9111613655917851
clean,passive_rvo_mpc,safety_violation,lower,240,0.058333333333333334,0.029166666666666667,0.09166666666666666
clean,passive_rvo_mpc,success,higher,240,0.39166666666666666,0.32916666666666666,0.45416666666666666
clean,residual_passive_rvo_mpc,collision,lower,240,0.008333333333333333,0.0,0.020833333333333332
clean,residual_passive_rvo_mpc,completion_time,lower,240,21.228499999999997,20.395975,22.051049999999996
clean,residual_passive_rvo_mpc,final_goal_distance,lower,240,0.9961462690184514,0.8704544126110462,1.1267913733958266
clean,residual_passive_rvo_mpc,min_distance,higher,240,0.7131288648868243,0.6949451408447935,0.731045307921688
clean,residual_passive_rvo_mpc,progress_ratio,higher,240,0.9038016243410918,0.8915749829473982,0.9159060244411618
clean,residual_passive_rvo_mpc,safety_violation,lower,240,0.05416666666666667,0.029166666666666667,0.08333333333333333
clean,residual_passive_rvo_mpc,success,higher,240,0.4125,0.35,0.475
clean,rvo_reactive,collision,lower,240,0.004166666666666667,0.0,0.0125
clean,rvo_reactive,completion_time,lower,240,21.2335,20.519487499999997,21.920999999999996
clean,rvo_reactive,final_goal_distance,lower,240,0.6543741930897037,0.5581215731295136,0.7636647059388149
clean,rvo_reactive,min_distance,higher,240,0.7743444372304301,0.7470706556343735,0.8024866811415002
clean,rvo_reactive,progress_ratio,higher,240,0.9363807040111473,0.9258264933056004,0.945789784057124
clean,rvo_reactive,safety_violation,lower,240,0.07083333333333333,0.041666666666666664,0.10416666666666667
clean,rvo_reactive,success,higher,240,0.49583333333333335,0.43333333333333335,0.5583333333333333
high,icgp_rvo_mpc,collision,lower,240,0.041666666666666664,0.016666666666666666,0.06666666666666667
high,icgp_rvo_mpc,completion_time,lower,240,20.561500000000002,19.694475,21.419012499999997
high,icgp_rvo_mpc,final_goal_distance,lower,240,0.8619079525582493,0.7472882261647222,0.9792399227401862
high,icgp_rvo_mpc,min_distance,higher,240,0.6981198814688951,0.6815427791054242,0.7147554796641644
high,icgp_rvo_mpc,progress_ratio,higher,240,0.9165546149946749,0.9054406015250909,0.9275546449082321
high,icgp_rvo_mpc,safety_violation,lower,240,0.09166666666666666,0.058333333333333334,0.12916666666666668
high,icgp_rvo_mpc,success,higher,240,0.45416666666666666,0.39166666666666666,0.5166666666666667
high,passive_rvo_mpc,collision,lower,240,0.020833333333333332,0.004166666666666667,0.041666666666666664
high,passive_rvo_mpc,completion_time,lower,240,21.279999999999994,20.459487499999998,22.0840125
high,passive_rvo_mpc,final_goal_distance,lower,240,0.980814131970207,0.8595810527967599,1.104311968081165
high,passive_rvo_mpc,min_distance,higher,240,0.7032656742475798,0.6888814140182753,0.717855913925104
high,passive_rvo_mpc,progress_ratio,higher,240,0.9051770474839335,0.8927335310585719,0.9168822138569279
high,passive_rvo_mpc,safety_violation,lower,240,0.041666666666666664,0.016666666666666666,0.06666666666666667
high,passive_rvo_mpc,success,higher,240,0.42083333333333334,0.35833333333333334,0.48333333333333334
high,residual_passive_rvo_mpc,collision,lower,240,0.016666666666666666,0.004166666666666667,0.03333333333333333
high,residual_passive_rvo_mpc,completion_time,lower,240,20.659499999999998,19.8,21.5170375
high,residual_passive_rvo_mpc,final_goal_distance,lower,240,0.9045631758868694,0.7815288867793667,1.033268264606595
high,residual_passive_rvo_mpc,min_distance,higher,240,0.7126871703094542,0.6973577586463172,0.7277723403615834
high,residual_passive_rvo_mpc,progress_ratio,higher,240,0.9124893167133753,0.900298767631563,0.9242668689665151
high,residual_passive_rvo_mpc,safety_violation,lower,240,0.05416666666666667,0.029166666666666667,0.08333333333333333
high,residual_passive_rvo_mpc,success,higher,240,0.45416666666666666,0.39166666666666666,0.5166666666666667
high,rvo_reactive,collision,lower,240,0.016666666666666666,0.004166666666666667,0.03333333333333333
high,rvo_reactive,completion_time,lower,240,20.6805,19.8784875,21.475012500000002
high,rvo_reactive,final_goal_distance,lower,240,0.6303596333600581,0.563815558894227,0.7014049796022785
high,rvo_reactive,min_distance,higher,240,0.7480504702685778,0.7285174851846984,0.7687349392670089
high,rvo_reactive,progress_ratio,higher,240,0.9387694615637884,0.932261852666949,0.9452590432737876
high,rvo_reactive,safety_violation,lower,240,0.075,0.041666666666666664,0.10833333333333334
high,rvo_reactive,success,higher,240,0.4625,0.4,0.525
low,icgp_rvo_mpc,collision,lower,240,0.008333333333333333,0.0,0.020833333333333332
low,icgp_rvo_mpc,completion_time,lower,240,20.868499999999994,20.002974999999996,21.702025
low,icgp_rvo_mpc,final_goal_distance,lower,240,0.9434123002924025,0.8157036251132377,1.0781508803002844
low,icgp_rvo_mpc,min_distance,higher,240,0.7063284769626014,0.6877685667653465,0.7258315849671463
low,icgp_rvo_mpc,progress_ratio,higher,240,0.9088098388320456,0.8962031481860322,0.9211399276072432
low,icgp_rvo_mpc,safety_violation,lower,240,0.0625,0.03333333333333333,0.09583333333333334
low,icgp_rvo_mpc,success,higher,240,0.44583333333333336,0.38333333333333336,0.5083333333333333
low,passive_rvo_mpc,collision,lower,240,0.0,0.0,0.0
low,passive_rvo_mpc,completion_time,lower,240,21.757499999999997,20.927,22.569
low,passive_rvo_mpc,final_goal_distance,lower,240,1.1038128877369067,0.9618402023419427,1.2516225738303424
low,passive_rvo_mpc,min_distance,higher,240,0.6948438420138952,0.6760539426140677,0.7139557171464767
low,passive_rvo_mpc,progress_ratio,higher,240,0.8934931680327282,0.879632427819015,0.906861981076557
low,passive_rvo_mpc,safety_violation,lower,240,0.09583333333333334,0.0625,0.13333333333333333
low,passive_rvo_mpc,success,higher,240,0.36666666666666664,0.30416666666666664,0.425
low,residual_passive_rvo_mpc,collision,lower,240,0.0,0.0,0.0
low,residual_passive_rvo_mpc,completion_time,lower,240,21.026,20.183,21.8370125
low,residual_passive_rvo_mpc,final_goal_distance,lower,240,1.0115979892512164,0.8811566807135629,1.1516904971345017
low,residual_passive_rvo_mpc,min_distance,higher,240,0.7155249547622896,0.6981701244647357,0.7343173234368466
low,residual_passive_rvo_mpc,progress_ratio,higher,240,0.9022917627356947,0.8889935526755289,0.9150495002800987
low,residual_passive_rvo_mpc,safety_violation,lower,240,0.0625,0.03333333333333333,0.09583333333333334
low,residual_passive_rvo_mpc,success,higher,240,0.425,0.3625,0.4875
low,rvo_reactive,collision,lower,240,0.004166666666666667,0.0,0.0125
low,rvo_reactive,completion_time,lower,240,20.7525,19.983474999999995,21.526025
low,rvo_reactive,final_goal_distance,lower,240,0.624265726065884,0.5476879769835311,0.7087767290898288
low,rvo_reactive,min_distance,higher,240,0.7695627248478388,0.7435603181334894,0.7964282351179658
low,rvo_reactive,progress_ratio,higher,240,0.9392807164229453,0.931140852291234,0.946741561141971
low,rvo_reactive,safety_violation,lower,240,0.05,0.025,0.07916666666666666
low,rvo_reactive,success,higher,240,0.49166666666666664,0.42916666666666664,0.5541666666666667
medium,icgp_rvo_mpc,collision,lower,240,0.0125,0.0,0.029166666666666667
medium,icgp_rvo_mpc,completion_time,lower,240,20.680999999999997,19.791999999999998,21.564012499999997
medium,icgp_rvo_mpc,final_goal_distance,lower,240,0.9434972659374277,0.8188689771736972,1.0679949612178217
medium,icgp_rvo_mpc,min_distance,higher,240,0.6927324112211083,0.6765246209243786,0.7089217320805558
medium,icgp_rvo_mpc,progress_ratio,higher,240,0.9087313181643064,0.8962077468221348,0.9203228246225627
medium,icgp_rvo_mpc,safety_violation,lower,240,0.0875,0.05416666666666667,0.125
medium,icgp_rvo_mpc,success,higher,240,0.42916666666666664,0.36666666666666664,0.49166666666666664
medium,passive_rvo_mpc,collision,lower,240,0.0,0.0,0.0
medium,passive_rvo_mpc,completion_time,lower,240,21.307999999999996,20.488487499999998,22.118537499999995
medium,passive_rvo_mpc,final_goal_distance,lower,240,0.9661721486598254,0.8398464492894708,1.0944675603664171
medium,passive_rvo_mpc,min_distance,higher,240,0.6930568186703435,0.6781374162748572,0.7085781967583614
medium,passive_rvo_mpc,progress_ratio,higher,240,0.9066307925192328,0.8940292711011716,0.9188805089813347
medium,passive_rvo_mpc,safety_violation,lower,240,0.0625,0.03333333333333333,0.09583333333333334
medium,passive_rvo_mpc,success,higher,240,0.4125,0.35,0.475
medium,residual_passive_rvo_mpc,collision,lower,240,0.0,0.0,0.0
medium,residual_passive_rvo_mpc,completion_time,lower,240,20.682000000000002,19.813,21.522012499999995
medium,residual_passive_rvo_mpc,final_goal_distance,lower,240,0.9486172055204709,0.824492648759236,1.0815539332750874
medium,residual_passive_rvo_mpc,min_distance,higher,240,0.706980567096836,0.6921133085459664,0.7217970551711281
medium,residual_passive_rvo_mpc,progress_ratio,higher,240,0.9082413875614292,0.8956928782291167,0.9205504799917495
medium,residual_passive_rvo_mpc,safety_violation,lower,240,0.05,0.025,0.07916666666666666
medium,residual_passive_rvo_mpc,success,higher,240,0.44583333333333336,0.38333333333333336,0.5083333333333333
medium,rvo_reactive,collision,lower,240,0.016666666666666666,0.004166666666666667,0.03333333333333333
medium,rvo_reactive,completion_time,lower,240,20.798,20.0094875,21.5835375
medium,rvo_reactive,final_goal_distance,lower,240,0.6578687862493098,0.576812560480709,0.7474644122839283
medium,rvo_reactive,min_distance,higher,240,0.7617388441536204,0.7392197566236395,0.7851825538890486
medium,rvo_reactive,progress_ratio,higher,240,0.9361068908590824,0.9274995177073287,0.9437351586891842
medium,rvo_reactive,safety_violation,lower,240,0.06666666666666667,0.0375,0.1
medium,rvo_reactive,success,higher,240,0.4666666666666667,0.4041666666666667,0.5291666666666667
