noise_level,scenario,robots,seed,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
clean,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,1.0,-1.0,1.0
clean,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9824185762554408,0.9896569913253188,-0.00723841506987799,-0.00723841506987799
clean,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1797493398189544,0.1057450771331787,0.07400426268577572,-0.07400426268577572
clean,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,10.68,13.32,-2.6400000000000006,2.6400000000000006
clean,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.7285234928131104,0.5030941963195801,0.22542929649353027,0.22542929649353027
clean,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,1.0,0.0,1.0,-1.0
clean,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9870296251028776,0.9872300447896124,-0.00020041968673478738,-0.00020041968673478738
clean,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1325127780437469,0.1304651796817779,0.002047598361968994,-0.002047598361968994
clean,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,12.72,12.12,0.6000000000000014,-0.6000000000000014
clean,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.5040075182914734,0.5469114780426025,-0.04290395975112915,-0.04290395975112915
clean,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,1.0,-1.0,1.0
clean,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9845248488709332,0.9885569298639894,-0.004032080993056186,-0.004032080993056186
clean,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1580853462219238,0.116895891726017,0.0411894544959068,-0.0411894544959068
clean,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,11.76,12.72,-0.9600000000000009,0.9600000000000009
clean,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.6952347755432129,0.5063604116439819,0.18887436389923096,0.18887436389923096
clean,corridor,4,13919,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13919,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,1.0,1.0,0.0,-0.0
clean,corridor,4,13919,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,13919,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9883331693708896,0.9875458041206002,0.0007873652502893291,0.0007873652502893291
clean,corridor,4,13919,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1192993223667144,0.1273505389690399,-0.008051216602325495,0.008051216602325495
clean,corridor,4,13919,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,13.44,13.08,0.35999999999999943,-0.35999999999999943
clean,corridor,4,13919,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.5112671256065369,0.5009498596191406,0.01031726598739624,0.01031726598739624
clean,corridor,4,13936,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13936,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,1.0,-1.0,1.0
