noise_level,comparison,metric,direction,paired_cases,mean_delta,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p,mean_signed_improvement,primary_better_rate
clean,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,240,0.0,-0.0125,0.0125,1.0,0.0,0.004166666666666667
clean,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,240,-0.6174999999999999,-1.055,-0.1985,0.0052994700529947,0.6174999999999999,0.29583333333333334
clean,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,240,-0.09673091859246294,-0.21090720122680068,0.019129775168063738,0.1105889411058894,0.09673091859246294,0.5375
clean,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,240,0.004315452790214007,-0.00787469245457301,0.016814158355991475,0.48885111488851113,0.004315452790214007,0.44166666666666665
clean,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,240,0.009233013191260398,-0.0019267005405466332,0.020300759382565352,0.10628937106289371,0.009233013191260398,0.5375
clean,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,240,0.0375,-0.004166666666666667,0.07916666666666666,0.13688631136886312,-0.0375,0.041666666666666664
clean,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,240,0.041666666666666664,0.004166666666666667,0.07916666666666666,0.043495650434956505,0.041666666666666664,0.0625
clean,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,collision,lower,240,-0.004166666666666667,-0.020833333333333332,0.008333333333333333,1.0,0.004166666666666667,0.008333333333333333
clean,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,completion_time,lower,240,-0.18549999999999986,-0.5265124999999998,0.15400000000000008,0.2830716928307169,0.18549999999999986,0.26666666666666666
clean,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,final_goal_distance,lower,240,-0.02981545139725008,-0.1343648997065611,0.07429116337560115,0.5927407259274072,0.02981545139725008,0.5125
clean,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,min_distance,higher,240,-0.0200463477860785,-0.03226513106389845,-0.007940561703383585,0.000999900009999,-0.0200463477860785,0.3875
clean,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,progress_ratio,higher,240,0.002822557588418324,-0.007043937750956193,0.01290236897359137,0.5946405359464053,0.002822557588418324,0.5125
clean,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,safety_violation,lower,240,0.041666666666666664,0.0,0.08333333333333333,0.066993300669933,-0.041666666666666664,0.03333333333333333
clean,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,success,higher,240,0.020833333333333332,-0.0125,0.05416666666666667,0.33326667333266674,0.020833333333333332,0.04583333333333333
clean,icgp_rvo_mpc_vs_rvo_reactive,collision,lower,240,0.0,-0.0125,0.0125,1.0,0.0,0.004166666666666667
clean,icgp_rvo_mpc_vs_rvo_reactive,completion_time,lower,240,-0.1905,-0.6545125,0.29754999999999937,0.43555644435556445,0.1905,0.32916666666666666
clean,icgp_rvo_mpc_vs_rvo_reactive,final_goal_distance,lower,240,0.3119566245314976,0.1859566569211893,0.4389563179512818,9.999000099990002e-05,-0.3119566245314976,0.4708333333333333
clean,icgp_rvo_mpc_vs_rvo_reactive,min_distance,higher,240,-0.08126192012968432,-0.10241323558857722,-0.06037306936789088,9.999000099990002e-05,-0.08126192012968432,0.32916666666666666
clean,icgp_rvo_mpc_vs_rvo_reactive,progress_ratio,higher,240,-0.029756522081637135,-0.04202626477849359,-0.01753440689324634,9.999000099990002e-05,-0.029756522081637135,0.4708333333333333
clean,icgp_rvo_mpc_vs_rvo_reactive,safety_violation,lower,240,0.025,-0.020833333333333332,0.07083333333333333,0.3852614738526147,-0.025,0.058333333333333334
clean,icgp_rvo_mpc_vs_rvo_reactive,success,higher,240,-0.0625,-0.09583333333333334,-0.029166666666666667,0.00029997000299970003,-0.0625,0.004166666666666667
high,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,240,0.020833333333333332,-0.008333333333333333,0.05,0.2695730426957304,-0.020833333333333332,0.016666666666666666
high,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,240,-0.7185,-1.0995249999999999,-0.34998750000000023,9.999000099990002e-05,0.7185,0.3375
high,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,240,-0.11890617941195766,-0.20123755023271467,-0.039174442150785305,0.005599440055994401,0.11890617941195766,0.5041666666666667
high,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,240,-0.005145792778684547,-0.017967084804452423,0.0073290877827297644,0.42575742425757424,-0.005145792778684547,0.49583333333333335
