"seed","baseline","progress_delta_icgp_minus_baseline","final_distance_delta_icgp_minus_baseline_m","deadlock_delta_icgp_minus_baseline","safety_violation_delta_icgp_minus_baseline"
"1","Passive","0.10641332318478308","-0.4914885990246831","1","0"
"1","Residual-passive","0.04905493429479579","-0.2265692244148534","0","0"
"2","Passive","0.1072407234400865","-0.49417863647577454","0","0"
"2","Residual-passive","0.0033933765723203058","-0.01563691661683242","0","0"
"3","Passive","0.008207826966323384","-0.03792766713394213","0","0"
"3","Residual-passive","-0.09192923731581576","0.42479536592166633","0","0"
"4","Passive","-0.11985213584451243","0.5539991301097276","0","0"
"4","Residual-passive","-0.00896213673761731","0.041427172929897615","0","0"
"5","Passive","-0.04066701221856875","0.18783037371966316","0","0"
"5","Residual-passive","-0.039021204454765535","0.1802301982590424","0","0"
"6","Passive","-0.05808588919794547","0.2687098355467459","0","0"
"6","Residual-passive","-0.015011063323891738","0.06944192066407329","0","0"
"7","Passive","-0.021240757176543168","0.09840756101543358","0","0"
"7","Residual-passive","-0.0009789842433387819","0.004536339239890719","0","0"
"8","Passive","-0.2052605396517984","0.9453130224374049","0","0"
"8","Residual-passive","-0.15143567612684022","0.6974264398500987","0","0"
"9","Passive","0.1640302898732341","-0.7588578080843672","0","1"
"9","Residual-passive","0.3674837225912239","-1.7001005135046912","0","1"
"10","Passive","-0.25838837140111914","1.1922061687246581","0","0"
"10","Residual-passive","-0.10174817257781987","0.4694674914456791","0","0"
