"seed","method_key","method_label","progress_ratio","final_goal_distance_m","collision","safety_violation","min_distance_m","deadlock","oscillation_count","mean_speed_mps","max_speed_mps","paper_ready","audit_passed","package_ready","rosbag_ready","visual_ready"
"1","icgp","ICGP","0.5675419707221261","1.9973838600644513","0","0","0.6347349913349666","1","46","0.07737553859212482","0.30188513717968896","True","True","True","True","True"
"1","passive","Passive","0.461128647537343","2.4888724590891345","0","0","0.6402814425703747","0","29","0.07002355163069608","0.30142622289707977","True","True","True","True","True"
"1","residual_passive","Residual-passive","0.5184870364273303","2.2239530844793047","0","0","0.6265585622381998","1","58","0.0701036423688585","0.2994869478374642","True","True","True","True","True"
"2","icgp","ICGP","0.4518852021632486","2.5257795155087304","0","0","0.6209436477370552","1","32","0.06941323073337907","0.29985627680107013","True","True","True","True","True"
"2","passive","Passive","0.3446444787231621","3.019958151984505","0","0","0.6414134632551769","1","43","0.059250796571048564","0.2992648215293605","True","True","True","True","True"
"2","residual_passive","Residual-passive","0.4484918255909283","2.541416432125563","0","0","0.6322205842156676","1","51","0.0664928678379847","0.299810049578062","True","True","True","True","True"
"3","icgp","ICGP","0.4967204418125937","2.3256011580916316","0","0","0.603123997212016","1","34","0.070983452378591","0.3016651827771969","True","True","True","True","True"
"3","passive","Passive","0.48851261484627034","2.3635288252255737","0","0","0.6031269324818782","1","29","0.07001688488667113","0.30010591465014474","True","True","True","True","True"
"3","residual_passive","Residual-passive","0.5886496791284095","1.9008057921699653","0","0","0.6030867418713498","1","28","0.08080680204806912","0.30067176165546367","True","True","True","True","True"
"4","icgp","ICGP","0.13023233575511012","4.0203726954262216","0","0","0.5919062057969996","1","39","0.03185083306269456","0.3111569090169759","True","True","True","True","True"
"4","passive","Passive","0.25008447159962255","3.466373565316494","0","0","0.6226355485554932","1","33","0.04298106923302914","0.26829906269310744","True","True","True","True","True"
"4","residual_passive","Residual-passive","0.13919447249272743","3.978945522496324","0","0","0.5859264800194646","1","34","0.029602127123244736","0.17666071317924295","True","True","True","True","True"
"5","icgp","ICGP","0.14009349005415894","3.971649499481816","0","0","0.6032386099662388","1","42","0.03609669257187551","0.21886289594172867","True","True","True","True","True"
"5","passive","Passive","0.1807605022727277","3.783819125762153","0","0","0.6073515309480992","1","50","0.03472094836030004","0.20139069522944697","True","True","True","True","True"
"5","residual_passive","Residual-passive","0.17911469450892448","3.7914193012227737","0","0","0.6101928423654279","1","42","0.03824776055731789","0.2996999852018682","True","True","True","True","True"
"6","icgp","ICGP","0.15500798414411504","3.9089941616545225","0","0","0.5916116713013698","1","42","0.03918701109991191","0.30021239806010674","True","True","True","True","True"
"6","passive","Passive","0.2130938733420605","3.6402843261077766","0","0","0.6019338296266461","1","38","0.04174010695894198","0.2954984994293539","True","True","True","True","True"
"6","residual_passive","Residual-passive","0.17001904746800678","3.8395522409904492","0","0","0.6006905468949881","1","34","0.030955176845569404","0.21946236542286698","True","True","True","True","True"
"7","icgp","ICGP","0.13775464325375783","3.994734943484534","0","0","0.5321314627016521","1","21","0.026403849017393684","0.16820866275254673","True","True","True","True","True"
"7","passive","Passive","0.158995400430301","3.8963273824691003","0","0","0.6044377114178102","1","18","0.03295594133049794","0.2277742670211014","True","True","True","True","True"
"7","residual_passive","Residual-passive","0.1387336274970966","3.990198604244643","0","0","0.5525253340191744","1","27","0.026592536596800255","0.21111922024533553","True","True","True","True","True"
"8","icgp","ICGP","0.47897145266716096","2.399560521839012","0","0","0.584003424647493","1","45","0.07105583055856925","0.29881142820347417","True","True","True","True","True"
"8","passive","Passive","0.6842319923189594","1.4542474994016072","0","0","0.584003424647493","1","31","0.08567368864004551","0.29998426391062577","True","True","True","True","True"
"8","residual_passive","Residual-passive","0.6304071287940012","1.7021340819889135","0","0","0.5838124429343726","1","57","0.07521347479536031","0.30008224161386154","True","True","True","True","True"
"9","icgp","ICGP","0.8158126059252403","0.8521113178486531","0","1","0.49607469720295144","1","28","0.09687053191013778","0.30040067262574494","True","True","True","True","True"
"9","passive","Passive","0.6517823160520062","1.6109691259330203","0","0","0.6217505155808075","1","49","0.07417321219983627","0.3021618778817076","True","True","True","True","True"
"9","residual_passive","Residual-passive","0.4483288833340164","2.552211831353344","0","0","0.6213993624264511","1","45","0.06345584704263553","0.2995906121259476","True","True","True","True","True"
"10","icgp","ICGP","0.3365592862149174","3.0611221001396873","0","0","0.6225140282435409","1","56","0.058083360789332954","0.30079076093025203","True","True","True","True","True"
"10","passive","Passive","0.5949476576160365","1.8689159314150292","0","0","0.6217146087209146","1","33","0.08500638916318176","0.2998066821420096","True","True","True","True","True"
"10","residual_passive","Residual-passive","0.43830745879273725","2.591654608694008","0","0","0.6224030795441168","1","38","0.06837644053443177","0.2998730784598711","True","True","True","True","True"
