time_s,robot_id,model_name,pose_topic,x,y,yaw,bridge_source,odom_mode,start_x,start_y,start_error_m,within_start_tolerance
11.900000,robot1,robot1,/robot1/ground_truth_pose,-2.199935,-0.900177,0.287759,spawn_corrected_odom,world,-2.200000,-0.900000,0.000189,True
11.900000,robot2,robot2,/robot2/ground_truth_pose,-2.199952,0.299704,-0.158541,spawn_corrected_odom,world,-2.200000,0.300000,0.000300,True
11.900000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,spawn_corrected_odom,world,2.200000,-0.700000,0.000000,True
11.900000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,spawn_corrected_odom,world,2.200000,0.700000,0.000000,True
12.100000,robot1,robot1,/robot1/ground_truth_pose,-2.199936,-0.900177,0.287785,model_states,world,-2.200000,-0.900000,0.000188,True
12.100000,robot2,robot2,/robot2/ground_truth_pose,-2.199952,0.299704,-0.158562,model_states,world,-2.200000,0.300000,0.000300,True
12.100000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
12.100000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
12.200000,robot1,robot1,/robot1/ground_truth_pose,-2.199936,-0.900176,0.287801,model_states,world,-2.200000,-0.900000,0.000187,True
12.200000,robot2,robot2,/robot2/ground_truth_pose,-2.199951,0.299705,-0.158577,model_states,world,-2.200000,0.300000,0.000299,True
12.200000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
12.200000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
12.300000,robot1,robot1,/robot1/ground_truth_pose,-2.199936,-0.900176,0.287816,model_states,world,-2.200000,-0.900000,0.000187,True
12.300000,robot2,robot2,/robot2/ground_truth_pose,-2.199951,0.299705,-0.158590,model_states,world,-2.200000,0.300000,0.000299,True
12.300000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
12.300000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
12.400000,robot1,robot1,/robot1/ground_truth_pose,-2.199937,-0.900176,0.287832,model_states,world,-2.200000,-0.900000,0.000187,True
12.400000,robot2,robot2,/robot2/ground_truth_pose,-2.199951,0.299705,-0.158603,model_states,world,-2.200000,0.300000,0.000299,True
12.400000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
12.400000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
12.500000,robot1,robot1,/robot1/ground_truth_pose,-2.199937,-0.900175,0.287848,model_states,world,-2.200000,-0.900000,0.000186,True
12.500000,robot2,robot2,/robot2/ground_truth_pose,-2.199951,0.299706,-0.158617,model_states,world,-2.200000,0.300000,0.000298,True
12.500000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
12.500000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
12.600000,robot1,robot1,/robot1/ground_truth_pose,-2.199937,-0.900175,0.287863,model_states,world,-2.200000,-0.900000,0.000186,True
12.600000,robot2,robot2,/robot2/ground_truth_pose,-2.199951,0.299706,-0.158630,model_states,world,-2.200000,0.300000,0.000298,True
12.600000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
12.600000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
12.700000,robot1,robot1,/robot1/ground_truth_pose,-2.199937,-0.900175,0.287877,model_states,world,-2.200000,-0.900000,0.000186,True
12.700000,robot2,robot2,/robot2/ground_truth_pose,-2.199950,0.299707,-0.158643,model_states,world,-2.200000,0.300000,0.000298,True
12.700000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
12.700000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
12.800000,robot1,robot1,/robot1/ground_truth_pose,-2.199937,-0.900174,0.287891,model_states,world,-2.200000,-0.900000,0.000185,True
12.800000,robot2,robot2,/robot2/ground_truth_pose,-2.199950,0.299707,-0.158656,model_states,world,-2.200000,0.300000,0.000297,True
12.800000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
12.800000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
12.900000,robot1,robot1,/robot1/ground_truth_pose,-2.199938,-0.900174,0.287906,model_states,world,-2.200000,-0.900000,0.000185,True
12.900000,robot2,robot2,/robot2/ground_truth_pose,-2.199950,0.299707,-0.158669,model_states,world,-2.200000,0.300000,0.000297,True
12.900000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
12.900000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
13.000000,robot1,robot1,/robot1/ground_truth_pose,-2.199938,-0.900174,0.287920,model_states,world,-2.200000,-0.900000,0.000184,True
13.000000,robot2,robot2,/robot2/ground_truth_pose,-2.199950,0.299708,-0.158681,model_states,world,-2.200000,0.300000,0.000297,True
13.000000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
13.000000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
13.100000,robot1,robot1,/robot1/ground_truth_pose,-2.199938,-0.900173,0.287934,model_states,world,-2.200000,-0.900000,0.000184,True
