time_s,arrival_time_s,stamp_sec,stamp_nanosec,robot_id,frame_id,x,y,yaw,vx,vy,pose_source,source_topic,sample_age_s,time_basis
0.000000,12.100000,11,900000000,robot1,map,-2.199935,-0.900177,0.287759,0.000000,0.000000,gazebo_ground_truth,/robot1/ground_truth_pose,0.200000,header_stamp
0.000000,12.100000,11,900000000,robot2,map,-2.199952,0.299704,-0.158541,0.000000,0.000000,gazebo_ground_truth,/robot2/ground_truth_pose,0.200000,header_stamp
0.000000,12.100000,11,900000000,robot3,map,2.200000,-0.700000,2.833540,0.000000,0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.200000,header_stamp
0.000000,12.100000,11,900000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.200000,header_stamp
0.200000,12.100000,12,100000000,robot1,map,-2.199936,-0.900177,0.287785,-0.000002,0.000003,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
0.200000,12.100000,12,100000000,robot2,map,-2.199952,0.299704,-0.158562,0.000001,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
0.200000,12.100000,12,100000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
0.200000,12.100000,12,100000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
0.300000,12.200000,12,200000000,robot1,map,-2.199936,-0.900176,0.287801,-0.000002,0.000006,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
0.300000,12.200000,12,200000000,robot2,map,-2.199951,0.299705,-0.158577,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
0.300000,12.200000,12,200000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
0.300000,12.200000,12,200000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
0.400000,12.300000,12,300000000,robot1,map,-2.199936,-0.900176,0.287816,-0.000004,0.000001,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
0.400000,12.300000,12,300000000,robot2,map,-2.199951,0.299705,-0.158590,0.000001,0.000007,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
0.400000,12.300000,12,300000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
0.400000,12.300000,12,300000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
0.500000,12.400000,12,400000000,robot1,map,-2.199937,-0.900176,0.287832,-0.000004,0.000002,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
0.500000,12.400000,12,400000000,robot2,map,-2.199951,0.299705,-0.158603,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
0.500000,12.400000,12,400000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
0.500000,12.400000,12,400000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
0.600000,12.500000,12,500000000,robot1,map,-2.199937,-0.900175,0.287848,-0.000002,0.000006,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
0.600000,12.500000,12,500000000,robot2,map,-2.199951,0.299706,-0.158617,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
0.600000,12.500000,12,500000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
0.600000,12.500000,12,500000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
0.700000,12.600000,12,600000000,robot1,map,-2.199937,-0.900175,0.287863,-0.000002,0.000002,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
0.700000,12.600000,12,600000000,robot2,map,-2.199951,0.299706,-0.158630,0.000001,0.000007,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
0.700000,12.600000,12,600000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
0.700000,12.600000,12,600000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
