time_s,robot_i,robot_j,distance_m,collision,safety_violation,all_pose_fresh
12.100000,robot1,robot2,1.199881,0,0,True
12.100000,robot1,robot3,4.404487,0,0,True
12.100000,robot1,robot4,4.681880,0,0,True
12.100000,robot2,robot3,4.512093,0,0,True
12.100000,robot2,robot4,4.418123,0,0,True
12.100000,robot3,robot4,1.400000,0,0,True
12.200000,robot1,robot2,1.199881,0,0,True
12.200000,robot1,robot3,4.404487,0,0,True
12.200000,robot1,robot4,4.681880,0,0,True
12.200000,robot2,robot3,4.512093,0,0,True
12.200000,robot2,robot4,4.418123,0,0,True
12.200000,robot3,robot4,1.400000,0,0,True
12.300000,robot1,robot2,1.199881,0,0,True
12.300000,robot1,robot3,4.404487,0,0,True
12.300000,robot1,robot4,4.681880,0,0,True
12.300000,robot2,robot3,4.512093,0,0,True
12.300000,robot2,robot4,4.418123,0,0,True
12.300000,robot3,robot4,1.400000,0,0,True
12.400000,robot1,robot2,1.199881,0,0,True
12.400000,robot1,robot3,4.404488,0,0,True
12.400000,robot1,robot4,4.681880,0,0,True
12.400000,robot2,robot3,4.512093,0,0,True
12.400000,robot2,robot4,4.418123,0,0,True
12.400000,robot3,robot4,1.400000,0,0,True
12.500000,robot1,robot2,1.199881,0,0,True
12.500000,robot1,robot3,4.404488,0,0,True
12.500000,robot1,robot4,4.681881,0,0,True
12.500000,robot2,robot3,4.512093,0,0,True
12.500000,robot2,robot4,4.418122,0,0,True
12.500000,robot3,robot4,1.400000,0,0,True
12.600000,robot1,robot2,1.199881,0,0,True
12.600000,robot1,robot3,4.404488,0,0,True
12.600000,robot1,robot4,4.681881,0,0,True
12.600000,robot2,robot3,4.512092,0,0,True
12.600000,robot2,robot4,4.418122,0,0,True
12.600000,robot3,robot4,1.400000,0,0,True
12.700000,robot1,robot2,1.199881,0,0,True
12.700000,robot1,robot3,4.404488,0,0,True
12.700000,robot1,robot4,4.681881,0,0,True
12.700000,robot2,robot3,4.512092,0,0,True
12.700000,robot2,robot4,4.418122,0,0,True
12.700000,robot3,robot4,1.400000,0,0,True
12.800000,robot1,robot2,1.199881,0,0,True
