time_s,robot_id,method,vx_cmd,wz_cmd,acc_x,acc_y,latency_ms,fallback,fallback_reason,goal_distance_m
26.800000,robot1,icgp_rvo_mpc,0.004750,-1.600000,0.173892,-0.415044,309.886086,False,,4.588068
26.800000,robot2,icgp_rvo_mpc,0.010348,1.600000,0.172270,0.415720,285.109537,False,,4.455204
26.800000,robot3,icgp_rvo_mpc,0.000000,1.600000,-0.080946,-0.442660,281.300452,False,,4.617358
26.800000,robot4,icgp_rvo_mpc,0.000171,-1.600000,-0.082182,0.442432,361.125499,False,,4.472136
27.500000,robot1,icgp_rvo_mpc,0.023507,-1.600000,0.172997,-0.415418,296.301571,False,,4.587406
27.500000,robot2,icgp_rvo_mpc,0.017599,1.600000,0.173177,0.415343,190.014482,False,,4.453258
27.500000,robot3,icgp_rvo_mpc,0.000000,1.600000,-0.080946,-0.442660,273.839034,False,,4.617358
27.500000,robot4,icgp_rvo_mpc,0.000171,-1.600000,-0.082182,0.442432,230.146504,False,,4.472136
27.500000,robot1,icgp_rvo_mpc,0.023507,-1.600000,0.172997,-0.415418,322.352521,False,,4.587406
27.500000,robot2,icgp_rvo_mpc,0.017599,1.600000,0.173177,0.415343,236.846934,False,,4.453258
27.500000,robot3,icgp_rvo_mpc,0.000000,1.600000,-0.080946,-0.442660,179.532661,False,,4.617358
27.500000,robot4,icgp_rvo_mpc,0.000171,-1.600000,-0.082182,0.442432,155.403408,False,,4.472136
28.600000,robot1,icgp_rvo_mpc,0.000000,1.600000,0.427248,0.141277,192.834329,False,,4.583403
28.600000,robot2,icgp_rvo_mpc,0.010520,-1.600000,0.442739,-0.080510,266.817855,False,,4.445543
28.600000,robot3,icgp_rvo_mpc,0.040160,0.964857,-0.081394,-0.442578,261.223605,False,,4.618129
28.600000,robot4,icgp_rvo_mpc,0.039714,-1.111850,-0.081799,0.442503,151.441236,False,,4.473844
28.600000,robot1,icgp_rvo_mpc,0.000000,1.600000,0.427248,0.141277,214.697922,False,,4.583403
28.600000,robot2,icgp_rvo_mpc,0.010520,-1.600000,0.442739,-0.080510,273.022129,False,,4.445543
28.600000,robot3,icgp_rvo_mpc,0.040160,0.964857,-0.081394,-0.442578,289.339474,False,,4.618129
28.600000,robot4,icgp_rvo_mpc,0.039714,-1.111850,-0.081799,0.442503,299.328698,False,,4.473844
29.900000,robot1,icgp_rvo_mpc,0.019573,1.600000,0.428962,0.135982,228.325878,False,,4.592524
29.900000,robot2,icgp_rvo_mpc,0.023605,-1.600000,0.442554,-0.081521,239.202060,False,,4.449249
29.900000,robot3,icgp_rvo_mpc,0.000000,-1.600000,-0.425630,0.146079,254.167036,False,,4.642148
29.900000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.441424,-0.087435,142.265858,False,,4.492201
29.900000,robot1,icgp_rvo_mpc,0.019573,1.600000,0.428962,0.135982,231.262045,False,,4.592524
29.900000,robot2,icgp_rvo_mpc,0.023605,-1.600000,0.442554,-0.081521,226.312442,False,,4.449249
29.900000,robot3,icgp_rvo_mpc,0.000000,-1.600000,-0.425630,0.146079,183.388848,False,,4.642148
29.900000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.441424,-0.087435,282.864524,False,,4.492201
31.100000,robot1,icgp_rvo_mpc,0.000000,-1.600000,0.165196,-0.418581,198.320295,False,,4.576833
31.100000,robot2,icgp_rvo_mpc,0.000000,1.600000,0.172958,0.415434,229.611775,False,,4.429736
31.100000,robot3,icgp_rvo_mpc,0.045114,-1.251753,-0.086326,-0.441642,265.710633,False,,4.675426
31.100000,robot4,icgp_rvo_mpc,0.026850,1.600000,-0.083319,0.442219,285.441081,False,,4.528471
31.100000,robot1,icgp_rvo_mpc,0.000000,-1.600000,0.165196,-0.418581,207.173209,False,,4.576833
31.100000,robot2,icgp_rvo_mpc,0.000000,1.600000,0.172958,0.415434,235.644725,False,,4.429736
31.100000,robot3,icgp_rvo_mpc,0.045114,-1.251753,-0.086326,-0.441642,279.411950,False,,4.675426
31.100000,robot4,icgp_rvo_mpc,0.026850,1.600000,-0.083319,0.442219,348.515394,False,,4.528471
32.300000,robot1,icgp_rvo_mpc,0.012114,-1.600000,0.166918,-0.417898,219.663069,False,,4.570240
32.300000,robot2,icgp_rvo_mpc,0.001331,1.600000,0.174787,0.414668,331.183303,False,,4.420959
32.300000,robot3,icgp_rvo_mpc,0.033519,-1.600000,-0.421327,0.158062,177.274619,False,,4.677180
32.300000,robot4,icgp_rvo_mpc,0.014580,1.600000,-0.440617,-0.091417,296.169754,False,,4.533047
32.300000,robot1,icgp_rvo_mpc,0.012114,-1.600000,0.166918,-0.417898,268.598379,False,,4.570240
32.300000,robot2,icgp_rvo_mpc,0.001331,1.600000,0.174787,0.414668,212.919769,False,,4.420959
32.300000,robot3,icgp_rvo_mpc,0.033519,-1.600000,-0.421327,0.158062,146.075435,False,,4.677180
32.300000,robot4,icgp_rvo_mpc,0.014580,1.600000,-0.440617,-0.091417,222.433498,False,,4.533047
33.500000,robot1,icgp_rvo_mpc,0.049212,0.866365,0.170411,-0.416485,258.986451,False,,4.565897
33.500000,robot2,icgp_rvo_mpc,0.039083,-1.198433,0.378710,0.243061,252.626265,False,,4.420370
33.500000,robot3,icgp_rvo_mpc,0.067634,1.120586,-0.420757,0.159572,258.297485,False,,4.641064
33.500000,robot4,icgp_rvo_mpc,0.054962,-1.030953,-0.439939,-0.094625,359.010956,False,,4.514548
33.500000,robot1,icgp_rvo_mpc,0.049212,0.866365,0.170411,-0.416485,266.254472,False,,4.565897
33.500000,robot2,icgp_rvo_mpc,0.039083,-1.198433,0.378710,0.243061,238.615759,False,,4.420370
33.500000,robot3,icgp_rvo_mpc,0.067634,1.120586,-0.420757,0.159572,281.834197,False,,4.641064
33.500000,robot4,icgp_rvo_mpc,0.054962,-1.030953,-0.439939,-0.094625,186.279532,False,,4.514548
34.700000,robot1,icgp_rvo_mpc,0.028901,1.600000,0.421040,0.158825,238.855842,False,,4.581189
34.700000,robot2,icgp_rvo_mpc,0.037981,-1.600000,0.440740,-0.090822,253.495028,False,,4.417180
34.700000,robot3,icgp_rvo_mpc,0.012964,1.600000,-0.103756,-0.437875,230.099210,False,,4.605657
34.700000,robot4,icgp_rvo_mpc,0.000000,-1.600000,-0.066820,0.445011,281.330511,False,,4.502962
34.700000,robot1,icgp_rvo_mpc,0.028901,1.600000,0.421040,0.158825,263.782514,False,,4.581189
34.700000,robot2,icgp_rvo_mpc,0.037981,-1.600000,0.440740,-0.090822,207.586130,False,,4.417180
34.700000,robot3,icgp_rvo_mpc,0.012964,1.600000,-0.103756,-0.437875,245.460934,False,,4.605657
34.700000,robot4,icgp_rvo_mpc,0.000000,-1.600000,-0.066820,0.445011,199.456948,False,,4.502962
36.000000,robot1,icgp_rvo_mpc,0.062177,-0.693974,0.421776,0.156860,293.284284,False,,4.561607
36.000000,robot2,icgp_rvo_mpc,0.063028,1.382859,0.441545,-0.086820,159.784760,False,,4.378642
36.000000,robot3,icgp_rvo_mpc,0.051400,-0.068515,-0.107334,-0.437012,218.803632,False,,4.556508
36.000000,robot4,icgp_rvo_mpc,0.025609,-1.188712,-0.053651,0.446790,218.463405,False,,4.473401
36.000000,robot1,icgp_rvo_mpc,0.062177,-0.693974,0.421776,0.156860,143.672322,False,,4.561607
36.000000,robot2,icgp_rvo_mpc,0.063028,1.382859,0.441545,-0.086820,262.854797,False,,4.378642
36.000000,robot3,icgp_rvo_mpc,0.051400,-0.068515,-0.107334,-0.437012,280.798311,False,,4.556508
36.000000,robot4,icgp_rvo_mpc,0.025609,-1.188712,-0.053651,0.446790,270.592648,False,,4.473401
37.200000,robot1,icgp_rvo_mpc,0.040795,-1.563744,0.173230,-0.415321,220.787386,False,,4.506346
37.200000,robot2,icgp_rvo_mpc,0.026057,1.600000,0.166479,0.418073,179.512351,False,,4.344791
37.200000,robot3,icgp_rvo_mpc,0.014702,-1.600000,-0.420194,0.161049,120.747037,False,,4.560281
37.200000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.441635,-0.086365,193.326799,False,,4.474656
37.200000,robot1,icgp_rvo_mpc,0.040795,-1.563744,0.173230,-0.415321,150.946269,False,,4.506346
37.200000,robot2,icgp_rvo_mpc,0.026057,1.600000,0.166479,0.418073,146.741936,False,,4.344791
37.200000,robot3,icgp_rvo_mpc,0.014702,-1.600000,-0.420194,0.161049,291.647012,False,,4.560281
37.200000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.441635,-0.086365,127.849579,False,,4.474656
38.000000,robot1,icgp_rvo_mpc,0.071717,-0.330585,0.174646,-0.414727,165.472860,False,,4.472340
