time_s,robot_i,robot_j,distance_m
0.0,robot1,robot2,1.1994570101445903
0.0,robot1,robot3,4.404628029596257
0.0,robot1,robot4,4.681880912529174
0.0,robot2,robot3,4.512086311377698
0.0,robot2,robot4,4.418110917725131
0.0,robot3,robot4,1.4
0.05,robot1,robot2,1.1994715095046027
0.05,robot1,robot3,4.404623692293616
0.05,robot1,robot4,4.681881167940324
0.05,robot2,robot3,4.512086311377698
0.05,robot2,robot4,4.418110917725131
0.05,robot3,robot4,1.4
0.1,robot1,robot2,1.1994860088854726
0.1,robot1,robot3,4.404619355040115
0.1,robot1,robot4,4.681881423401708
0.1,robot2,robot3,4.512086311377698
0.1,robot2,robot4,4.418110917725131
0.1,robot3,robot4,1.4
0.15000000000000002,robot1,robot2,1.1994885088246992
0.15000000000000002,robot1,robot3,4.404618946262123
0.15000000000000002,robot1,robot4,4.681881636881827
0.15000000000000002,robot2,robot3,4.512086422160291
0.15000000000000002,robot2,robot4,4.418110872425369
0.15000000000000002,robot3,robot4,1.4
0.2,robot1,robot2,1.1994910087641342
0.2,robot1,robot3,4.404618537485057
0.2,robot1,robot4,4.681881850362843
0.2,robot2,robot3,4.512086532942936
0.2,robot2,robot4,4.418110827125662
0.2,robot3,robot4,1.4
0.25,robot1,robot2,1.199491508824677
0.25,robot1,robot3,4.404619059647781
0.25,robot1,robot4,4.681882491115353
0.25,robot2,robot3,4.512086532942936
0.25,robot2,robot4,4.418110827125662
0.25,robot3,robot4,1.4
0.30000000000000004,robot1,robot2,1.1994920088854282
0.30000000000000004,robot1,robot3,4.4046195818105565
0.30000000000000004,robot1,robot4,4.681883131867881
0.30000000000000004,robot2,robot3,4.512086532942936
0.30000000000000004,robot2,robot4,4.418110827125662
0.30000000000000004,robot3,robot4,1.4
0.35000000000000003,robot1,robot2,1.1996835140338054
0.35000000000000003,robot1,robot3,4.404619559133257
0.35000000000000003,robot1,robot4,4.681882961021051
0.35000000000000003,robot2,robot3,4.512092509768418
0.35000000000000003,robot2,robot4,4.418056090262804
0.35000000000000003,robot3,robot4,1.4
0.4,robot1,robot2,1.1998750203525366
0.4,robot1,robot3,4.404619536456015
0.4,robot1,robot4,4.681882790174269
0.4,robot2,robot3,4.5120984950676775
0.4,robot2,robot4,4.418001361384127
0.4,robot3,robot4,1.4
0.45,robot1,robot2,1.1997985178567483
0.45,robot1,robot3,4.404619536456015
0.45,robot1,robot4,4.681882790174269
0.45,robot2,robot3,4.512095191290877
0.45,robot2,robot4,4.418022228924415
0.45,robot3,robot4,1.4
0.5,robot1,robot2,1.199722015524013
0.5,robot1,robot3,4.404619536456015
0.5,robot1,robot4,4.681882790174269
0.5,robot2,robot3,4.512091888852109
0.5,robot2,robot4,4.418043097735127
0.5,robot3,robot4,1.4
0.55,robot1,robot2,1.199707015204129
0.55,robot1,robot3,4.404620035941494
0.55,robot1,robot4,4.681883260079991
0.55,robot2,robot3,4.512091002468396
0.55,robot2,robot4,4.418046945716654
0.55,robot3,robot4,1.4
0.6000000000000001,robot1,robot2,1.199692014887571
0.6000000000000001,robot1,robot3,4.404620535426973
0.6000000000000001,robot1,robot4,4.681883729985721
0.6000000000000001,robot2,robot3,4.512090116135758
0.6000000000000001,robot2,robot4,4.418050793747169
0.6000000000000001,robot3,robot4,1.4
0.65,robot1,robot2,1.1996895148089357
0.65,robot1,robot3,4.404620512749793
0.65,robot1,robot4,4.6818835591390195
0.65,robot2,robot3,4.512090160484523
0.65,robot2,robot4,4.4180514728035085
0.65,robot3,robot4,1.4
0.7000000000000001,robot1,robot2,1.1996870147305088
0.7000000000000001,robot1,robot3,4.40462049007267
0.7000000000000001,robot1,robot4,4.681883388292366
0.7000000000000001,robot2,robot3,4.51209020483423
0.7000000000000001,robot2,robot4,4.418052151860705
0.7000000000000001,robot3,robot4,1.4
0.75,robot1,robot2,1.1996870147305088
0.75,robot1,robot3,4.40462049007267
0.75,robot1,robot4,4.681883388292366
0.75,robot2,robot3,4.51209020483423
0.75,robot2,robot4,4.418052151860705
0.75,robot3,robot4,1.4
0.8,robot1,robot2,1.1996870147305088
0.8,robot1,robot3,4.40462049007267
0.8,robot1,robot4,4.681883388292366
0.8,robot2,robot3,4.51209020483423
0.8,robot2,robot4,4.418052151860705
0.8,robot3,robot4,1.4
0.8500000000000001,robot1,robot2,1.1996870148089667
0.8500000000000001,robot1,robot3,4.404620989558155
0.8500000000000001,robot1,robot4,4.681883858198136
0.8500000000000001,robot2,robot3,4.51209020483423
0.8500000000000001,robot2,robot4,4.418052151860705
0.8500000000000001,robot3,robot4,1.4
0.9,robot1,robot2,1.199687014887633
0.9,robot1,robot3,4.404621489043639
0.9,robot1,robot4,4.68188432810391
0.9,robot2,robot3,4.51209020483423
0.9,robot2,robot4,4.418052151860705
0.9,robot3,robot4,1.4
0.9500000000000001,robot1,robot2,1.199686514966514
0.9500000000000001,robot1,robot3,4.404621466366577
0.9500000000000001,robot1,robot4,4.681884157257338
0.9500000000000001,robot2,robot3,4.512089717266408
0.9500000000000001,robot2,robot4,4.418051653915021
0.9500000000000001,robot3,robot4,1.4
1.0,robot1,robot2,1.1996860150456037
1.0,robot1,robot3,4.404621443689571
1.0,robot1,robot4,4.681883986410813
1.0,robot2,robot3,4.512089229698588
1.0,robot2,robot4,4.418051155969337
1.0,robot3,robot4,1.4
1.05,robot1,robot2,1.1996865151248886
1.05,robot1,robot3,4.404621943175061
1.05,robot1,robot4,4.681884456316628
1.05,robot2,robot3,4.51208934050305
1.05,robot2,robot4,4.41805111069137
1.05,robot3,robot4,1.4
1.1,robot1,robot2,1.1996870152043824
1.1,robot1,robot3,4.404622442660552
1.1,robot1,robot4,4.681884926222451
1.1,robot2,robot3,4.512089451307564
1.1,robot2,robot4,4.418051065413459
1.1,robot3,robot4,1.4
1.1500000000000001,robot1,robot2,1.1996870152043824
1.1500000000000001,robot1,robot3,4.404622442660552
1.1500000000000001,robot1,robot4,4.681884926222451
1.1500000000000001,robot2,robot3,4.512089451307564
1.1500000000000001,robot2,robot4,4.418051065413459
1.1500000000000001,robot3,robot4,1.4
1.2000000000000002,robot1,robot2,1.1996870152043824
1.2000000000000002,robot1,robot3,4.404622442660552
1.2000000000000002,robot1,robot4,4.681884926222451
1.2000000000000002,robot2,robot3,4.512089451307564
1.2000000000000002,robot2,robot4,4.418051065413459
1.2000000000000002,robot3,robot4,1.4
1.25,robot1,robot2,1.1996865152043885
1.25,robot1,robot3,4.404622419983609
1.25,robot1,robot4,4.681884755376007
1.25,robot2,robot3,4.512089451307564
1.25,robot2,robot4,4.418051065413459
1.25,robot3,robot4,1.4
1.3,robot1,robot2,1.199686015204395
1.3,robot1,robot3,4.404622397306721
1.3,robot1,robot4,4.681884584529611
1.3,robot2,robot3,4.512089451307564
1.3,robot2,robot4,4.418051065413459
1.3,robot3,robot4,1.4
1.35,robot1,robot2,1.199686515284097
1.35,robot1,robot3,4.404622896792215
1.35,robot1,robot4,4.681885054435472
1.35,robot2,robot3,4.5120895621121315
1.35,robot2,robot4,4.418051020135604
1.35,robot3,robot4,1.4
1.4000000000000001,robot1,robot2,1.1996870153640073
1.4000000000000001,robot1,robot3,4.404623396277711
1.4000000000000001,robot1,robot4,4.681885524341341
1.4000000000000001,robot2,robot3,4.512089672916751
1.4000000000000001,robot2,robot4,4.418050974857804
1.4000000000000001,robot3,robot4,1.4
