scenario,scenario_generation_version,rvo_safety_layer_version,tier,area_policy,robots,seed,method,noise_level,sigma_p,sigma_v,observation_noise_protocol,occlusion_probability,occlusion_max_duration,observation_noise_seed,workspace_width,workspace_height,workspace_area,agent_density,area_per_agent,dominant_flow_axis,lateral_axis,passage_width,agents_per_passage_width,start_bounds_margin,goal_bounds_margin,starts_out_of_bounds,goals_out_of_bounds,initial_collision,initial_safety_violation,initial_obstacle_collision,initial_min_distance,success,collision,safety_violation,obstacle_collision,min_distance,completion_time,steps,final_goal_distance,max_final_goal_distance,progress_ratio,path_length,control_effort,smoothness,latency_ms,screen_reject_rate,screen_all_reject_rate,screen_min_margin,screen_selected_margin,screen_predicted_margin,screen_runtime_margin,rvo_intervention_rate,seed_index
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,icgp_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,16207881606417289563,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6342605948448181,11.28,94,0.1310805380344391,0.3198972046375274,0.9871789095923303,10.94952479796484,0.8696813027156477,0.6874377454849,2.0851332449231625,0.175531914893617,0.1090425531914893,0.2469674151765301,0.4013054252606123,0.4542507212957803,0.6111079225578208,0.7473404255319149,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,16207881606417289563,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6496683359146118,11.52,96,0.1344106346368789,0.3131086826324463,0.9868531906977296,11.240409858408384,0.7672365793647865,0.5886450434336439,1.397157291497327,0.15,0.0989583333333333,0.2231453491764841,0.3383308980132763,0.3623976751742884,0.552696704439198,0.7109375,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,rvo_reactive,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,16207881606417289563,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.7470391988754272,18.84,157,0.1340453624725341,0.2810861468315124,0.986888918094337,11.965981771929364,0.5011786523565744,0.4550940131377073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3598726114649681,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,residual_passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,16207881606417289563,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6527215838432312,11.88,99,0.1373578459024429,0.3204502463340759,0.9865649212151766,11.445035424432715,0.8698568858883597,0.6802900404942156,1.293113131579976,0.1358585858585858,0.1085858585858585,0.2963371525415115,0.389894472123547,0.4415987279747772,0.5534376121410216,0.7803030303030303,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,icgp_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,8972166523400180881,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.679694652557373,10.92,91,0.1785490214824676,0.3779376149177551,0.982535980641842,10.851825386518613,1.1999888859361738,0.9506578173201816,1.0393357146173143,0.1368131868131868,0.0741758241758241,0.2724523819156073,0.4136422415749057,0.4976980159415322,0.5515164837650545,0.7554945054945055,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,passive_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,8972166523400180881,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6566953659057617,11.88,99,0.1347687840461731,0.2903274893760681,0.986818159930408,11.51127035182435,1.101357483653107,0.9148501218813988,1.4941409083096209,0.1621212121212121,0.1085858585858585,0.1986885381238816,0.3045870201974504,0.352236385584028,0.5033579736646979,0.7348484848484849,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,rvo_reactive,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,8972166523400180881,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.7409109473228455,13.68,114,0.2121351510286331,0.3552302420139313,0.9792508948594332,11.297787498217076,0.6803184320267878,0.6191121002887947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328947368421053,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,residual_passive_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,8972166523400180881,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6829195618629456,11.52,96,0.1330346316099167,0.2964121699333191,0.986987778916955,11.296490469714628,1.183570824524698,0.8981477337656543,1.7280828140731803,0.1572916666666666,0.1223958333333333,0.2962881172529887,0.3963742775586434,0.4730545984495742,0.5277468874600405,0.7942708333333334,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,icgp_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,9540232856888709843,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,0,0,0.6197872161865234,26.4,220,0.6235873699188232,1.0466986894607544,0.938408512622118,14.958403557269776,1.2400724087249149,1.1743615478277207,2.0507707385893976,0.4764772727272727,0.3488636363636364,-0.0720947505324253,0.0768921178057789,0.0863036634082143,0.412896432262422,0.71875,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,9540232856888709843,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,0,0,0.6133170127868652,26.4,220,0.9514650106430054,3.54451584815979,0.9060241654515266,14.900056574908376,1.2196800123561513,1.1253097233447162,1.239530170145868,0.4382954545454545,0.3409090909090909,-0.0309995863139259,0.0831357117842205,0.0946385567193342,0.3979674856842242,0.7607954545454545,0
