noise_level,comparison,metric,direction,paired_cases,mean_delta,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p,mean_signed_improvement,primary_better_rate
high,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,240,0.008333333333333333,-0.0125,0.03333333333333333,0.7185281471852815,-0.008333333333333333,0.0125
high,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,240,-0.3875,-0.6860125,-0.09398750000000021,0.0108989101089891,0.3875,0.30833333333333335
high,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,240,-0.0008484372869133904,-0.08665019960453109,0.08920093848370016,0.9861013898610139,0.0008484372869133904,0.49166666666666664
high,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,240,0.006623795684359077,-0.005063551097415838,0.01843985728847781,0.26947305269473054,0.006623795684359077,0.5166666666666667
high,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,240,1.8933364966267304e-05,-0.008503710018606697,0.008328074670474354,0.9964003599640036,1.8933364966267304e-05,0.49166666666666664
high,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,240,-0.041666666666666664,-0.10416666666666667,0.020833333333333332,0.24167583241675833,0.041666666666666664,0.14583333333333334
high,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,240,0.020833333333333332,0.0,0.041666666666666664,0.11898810118988101,0.020833333333333332,0.025
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,collision,lower,240,0.004166666666666667,-0.020833333333333332,0.029166666666666667,1.0,-0.004166666666666667,0.016666666666666666
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,completion_time,lower,240,-0.3345000000000001,-0.6255,-0.05350000000000007,0.0221977802219778,0.3345000000000001,0.26666666666666666
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,final_goal_distance,lower,240,-0.025237940469135838,-0.09931860376925518,0.049291372646888036,0.5098490150984901,0.025237940469135838,0.5333333333333333
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,min_distance,higher,240,0.004387916646693351,-0.007495258591197911,0.016664494896585506,0.4911508849115088,0.004387916646693351,0.5125
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,progress_ratio,higher,240,0.0024169893275635926,-0.004533391758450307,0.009495347745638967,0.5123487651234877,0.0024169893275635926,0.5333333333333333
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,safety_violation,lower,240,-0.05416666666666667,-0.11666666666666667,0.008333333333333333,0.11558844115588442,0.05416666666666667,0.15416666666666667
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,success,higher,240,0.029166666666666667,0.0,0.0625,0.11648835116488351,0.029166666666666667,0.04583333333333333
high,icgp_rvo_mpc_vs_rvo_reactive,collision,lower,240,0.004166666666666667,-0.020833333333333332,0.029166666666666667,1.0,-0.004166666666666667,0.016666666666666666
high,icgp_rvo_mpc_vs_rvo_reactive,completion_time,lower,240,-0.8349999999999999,-1.201,-0.47900000000000004,9.999000099990002e-05,0.8349999999999999,0.37916666666666665
high,icgp_rvo_mpc_vs_rvo_reactive,final_goal_distance,lower,240,0.063865047848473,-0.05382448248798027,0.18262002373502267,0.2893710628937106,-0.063865047848473,0.6583333333333333
high,icgp_rvo_mpc_vs_rvo_reactive,min_distance,higher,240,-0.04634270063203327,-0.06272783195602087,-0.03021370836360045,9.999000099990002e-05,-0.04634270063203327,0.3541666666666667
high,icgp_rvo_mpc_vs_rvo_reactive,progress_ratio,higher,240,-0.006081944758382938,-0.017331642939340468,0.005330068187904539,0.292970702929707,-0.006081944758382938,0.6583333333333333
high,icgp_rvo_mpc_vs_rvo_reactive,safety_violation,lower,240,-0.008333333333333333,-0.06666666666666667,0.05,0.8873112688731127,0.008333333333333333,0.11666666666666667
high,icgp_rvo_mpc_vs_rvo_reactive,success,higher,240,0.0125,-0.016666666666666666,0.041666666666666664,0.5777422257774223,0.0125,0.03333333333333333
low,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,240,-0.008333333333333333,-0.025,0.008333333333333333,0.6316368363163684,0.008333333333333333,0.0125
low,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,240,-0.39599999999999985,-0.6285,-0.17598750000000007,0.0004999500049995,0.39599999999999985,0.325
low,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,240,0.009643939292679206,-0.08535659725544978,0.10630708398064595,0.8454154584541546,-0.009643939292679206,0.5041666666666667
low,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,240,0.004839097818543297,-0.00535827614617049,0.014927524116833787,0.34136586341365865,0.004839097818543297,0.525
low,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,240,-0.0008559509762562913,-0.010130679235832465,0.008347866342422374,0.8592140785921408,-0.0008559509762562913,0.5041666666666667
low,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,240,0.0125,-0.0375,0.0625,0.7442255774422558,-0.0125,0.075
low,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,240,-0.008333333333333333,-0.03333333333333333,0.016666666666666666,0.7554244575542446,-0.008333333333333333,0.016666666666666666
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,collision,lower,240,-0.004166666666666667,-0.020833333333333332,0.008333333333333333,1.0,0.004166666666666667,0.008333333333333333
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,completion_time,lower,240,-0.19299999999999998,-0.4295124999999999,0.03851249999999984,0.10418958104189581,0.19299999999999998,0.2625
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,final_goal_distance,lower,240,-0.07213487417126695,-0.18278581754382078,0.03635607588260124,0.20107989201079893,0.07213487417126695,0.5291666666666667
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,min_distance,higher,240,-0.00310819210588535,-0.013835411135692617,0.0076076842745670175,0.5589441055894411,-0.00310819210588535,0.42916666666666664
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,progress_ratio,higher,240,0.006906441657338285,-0.0030948098625716196,0.017752139652341913,0.19858014198580143,0.006906441657338285,0.5291666666666667
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,safety_violation,lower,240,0.008333333333333333,-0.05,0.06666666666666667,0.8865113488651135,-0.008333333333333333,0.1
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,success,higher,240,-0.004166666666666667,-0.03333333333333333,0.025,1.0,-0.004166666666666667,0.025
low,icgp_rvo_mpc_vs_rvo_reactive,collision,lower,240,0.004166666666666667,0.0,0.0125,1.0,-0.004166666666666667,0.0
low,icgp_rvo_mpc_vs_rvo_reactive,completion_time,lower,240,-0.7555,-1.113025,-0.3884875000000001,0.00019998000199980003,0.7555,0.35833333333333334
low,icgp_rvo_mpc_vs_rvo_reactive,final_goal_distance,lower,240,-0.02240621953581771,-0.19129132171083862,0.14044203141781808,0.7932206779322067,0.02240621953581771,0.6583333333333333
low,icgp_rvo_mpc_vs_rvo_reactive,min_distance,higher,240,-0.06419734990815389,-0.08494635237802972,-0.04393411547405565,9.999000099990002e-05,-0.06419734990815389,0.35833333333333334
low,icgp_rvo_mpc_vs_rvo_reactive,progress_ratio,higher,240,0.0023608456288153916,-0.013294510309739662,0.01852856959885685,0.7702229777022298,0.0023608456288153916,0.6583333333333333
low,icgp_rvo_mpc_vs_rvo_reactive,safety_violation,lower,240,-0.03333333333333333,-0.09583333333333334,0.025,0.34706529347065296,0.03333333333333333,0.12916666666666668
low,icgp_rvo_mpc_vs_rvo_reactive,success,higher,240,-0.020833333333333332,-0.05416666666666667,0.0125,0.33386661333866613,-0.020833333333333332,0.025
