noise_level,scenario,robots,seed,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9869800508022308,0.986701632849872,0.0002784179523588337,0.0002784179523588337
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1331136375665664,0.1359601318836212,-0.0028464943170547763,0.0028464943170547763
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,11.76,11.04,0.7200000000000006,-0.7200000000000006
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.6146255731582642,0.6043620705604553,0.010263502597808838,0.010263502597808838
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,1.0,-1.0,1.0
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.97878797352314,0.9828733392059804,-0.004085365682840458,-0.004085365682840458
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.2167142033576965,0.1749757677316665,0.041738435626029996,-0.041738435626029996
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,11.28,14.16,-2.880000000000001,2.880000000000001
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.5294678807258606,0.5018837451934814,0.02758413553237915,0.02758413553237915
high,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,1.0,0.0,1.0,-1.0
high,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
